产品网址：http://fkhl.sh.cn/Product/index?id=90
产品结构：root

|产品名称|产品型号|功能描述|
|--|--|--|
|北斗定位模块|FHM31|基于北斗卫星导航系统的定位模块，体积小、功耗低、可靠性高，具备一定的抗干扰能力。可用于车载、船载、海洋、气象等相关行业场景，为本土及“一带一路”北斗信号覆盖区域提供广泛的定位服务|
|第二代北斗多功能终端|FHL6101|内置高性能电池，超低功耗、超长待机，在默认工作模式下可连续使用达三年以上；内置智能算法有效保障设备在各种应用场景的工作效率和鲁棒性；超低功耗北斗/GPS 双系统定位；超低功耗北斗 RDSS 卫星短报文通讯；超低功耗移动通信；内部记录 7 年以上历史轨迹数据；可远程配置运行参数，有多种方式供用户选择；高强度抗紫外线高分子材质外壳，工业级三防处理；工业级设计，0~70 摄氏度宽温工作范围，良好的抗振动和电磁兼容性，高可靠性、高稳定性，适合严酷的工作环境；可远程更新设备固件程序|
|高可靠北斗定位通信模组|FHL6160|基于自主知识产权的北斗核心芯片，集成了北斗天线、定位通信及主控等单元，便于客户安装和使用。同时，基于丰富的实践经验，实现了高可靠的北斗短报文通信、北斗/GPS 双系统定位等功能，能耐受严酷的高低温及振动等使用环境。可用于车载、船载、海洋等相关行业以及物联网等领域。可为本土及“一带一路”北斗信号覆盖区域提供短报文通信、授时、定位导航等服务|
|北斗车、船载数据通信终端|FHL612X|基于自主知识产权的北斗核心芯片，集成了导航、定位、通信功能，采用成熟可靠的电源管理技术，在较低的功耗下，实现了北斗短报文可靠通信、北斗/GPS 双系统定位等功能。该产品可用于车载、船载、海洋等相关行业以及物联网领域的短报文通信、授时、定位导航等，可为本土及“一带一路”北斗信号覆盖区域提供广泛的服务|
|北斗数据采集仪|FHL6121|具有全封闭无需插电、北斗/GPS 双系统定位、超低功耗北斗 RDSS 卫星短报文通讯、北斗通讯和移动网络智能切换、5 公里远距离 RFID 识别等特色功能，环保材料外壳，耐腐蚀抗氧化抗紫外线，无源设计可维持 2 年海上条件下的工作时间，可外接台风、温度、盐度、深度等各类测试传感器，测量各类大气海洋相关数据信息；也可外接风速、风向、液位仪等专业传感器，测量海上运输船的运行状态|
|北斗定位通信模组（5W）|FHL8251|基于自主知识产权的北斗核心芯片，集成了北斗定位和通信等功能单元，小体积、低功耗、高可靠。可作为终端与“北斗通信基站”组成“北斗群主数据通信方案”，为用户实现分布式、高性价比的国产卫星定位通信解决方案。还具有智能休眠及唤醒的低功耗策略，特别适合各类电池供电的应用场景|
|北斗定位通信模组（10W）|FHL8252|基于自主知识产权的北斗核心芯片，集成了北斗定位和通信等功能单元，小体积、低功耗、高可靠。可作为终端与“北斗通信基站”组成“北斗群主数据通信方案”，为用户实现分布式、高性价比的国产卫星定位通信解决方案。还具有智能休眠及唤醒的低功耗策略，特别适合各类电池供电的应用场景|
|北斗车载双模型用户机|FHL9251|内部集成 RDSS 模块、RNSS B1/GPS L1 模块、天线等，该模块集成度高、功耗低、可完整实现 RDSS 定位、短报文通信功能，并且实时接收 RDSS、RNSS B1/GPS L1 卫星导航信号。用户机体积小巧、功耗低，连接简单、操作方便，非常适应于车辆、船舰导航等大规模应用|
|云平台|北斗卫星数字渔业管理系统|基于自主知识产权的北斗导航、RFID 电子标签和无线通信技术研发的一套船舶管理系统。该系统具备北斗通讯定位、船舶进出港识别、远程执法查验、船舶航行轨迹及里程统计、船舶电子身份证发放等功能。终端设备可靠稳定，生产质检流程完备，具备自主供电达 3 年以上，可实现对船舶在港和出港期间全天候不间断管理、综合信息数学化呈现以及拓展大数据分析等业务功能|
