产品网址：https://www.primarius-tech.com/products
产品结构：root->概伦电子-产品与技术

|产品名称|产品型号|功能描述|
|--|--|--|
|SPICE 模型|无|基带建模、射频建模、自动化提取、验证评估|
|PDK|无|PCell 开发、PDK 验证|
|标准单元库|无|特征化、验证|
|电路设计平台|无|原理图设计、版图编辑、交互式物理验证、设计优化|
|电路仿真|无|SPICE 仿真器、FastSPICE 仿真器、混合信号仿真、波形查看分析|
|电路分析|无|动态和静态电路检查、良率分析、信号完整性分析、路径分析、功率及电源芯片设计验证、电源网络分布分析、ESD 验证|
|数字仿真|无|数字仿真|
|SoC 设计与验证|无|时序分析、设计布局规划、信号完整性、电源分析、ESD 验证、芯片封装连接验证|
|参数化测试|无|半导体参数测试|
|噪声测试|无|低频噪声测试、动态交流噪声测试|
|综合量测|无|自动量测方案|
|晶圆测试|无|数据测试与分析|
|SPICE 建模|无|模型提取与验证|
|测试芯片设计|无|测试结构设计与版图实现|
|新器件|无|新器件解决方案|
|PDK 开发|无|PDK 开发与验证|
|IP 开发|无|一站式 IP 开发|
