产品网址：https://www.primarius-tech.com/products/digital_design_eda.html
产品结构：root->概伦电子-数字设计类EDA

|产品名称|产品型号|功能描述|
|--|--|--|
|数字设计类 EDA|VeriSim|先进数字仿真器，配备高性能的仿真引擎和约束求解器，全面覆盖系统级、行为级、RTL 级和门级数字电路仿真验证的需求，提供全面的数字设计验证解决方案|
|数字设计类 EDA|NanoCell|标准单元库特征化解决方案，采用先进的分布式并行架构技术和单元电路分析提取算法，内嵌高精度 SPICE 仿真器，覆盖从标准单元库自动化设计、库特征化到验证的完整设计开发流程|
|数字设计类 EDA|LibWiz|标准单元库验证解决方案|
|数字设计类 EDA|TRASTA|门级晶体管级混合时序分析解决方案|
|数字设计类 EDA|NavisPro|层次化 SoC 设计规划方案|
|数字设计类 EDA|NanoSpice SI|信号完整性分析解决方案|
|数字设计类 EDA|PTM|功率器件及电源芯片设计验证|
|数字设计类 EDA|ESDi|芯片级 HBM 静电防护分析平台|
|数字设计类 EDA|PadInspector|芯片封装连接性验证工具|
