产品网址：http://doc.weihong.com.cn:8889/zh-cn/doc/hardware/VT310E/00.VT310E.html
产品结构：root->产品介绍

|产品名称|产品型号|功能描述|
|----|----|----|
|位置传感控制器|VT310E|通过前置放大器采集切割头喷嘴和工件之间的电容信息，再经由控制盒进行分析处理，能实现在高速运动状态下对位置高度的实时精准定位|

配件名称,数量,标配型号,选配规格
控制盒,1,VT310E,-
前置电容放大器,1,SE001,-
射频线,1,SMA/JW-SMA/J 200mm,-
M16三芯航空插头拖链电缆线,1,5000mm,□ 15000mm  □ 20000mm  □ 30000mm


接口名称,接口功能
EtherCAT接口,用于EtherCAT通信，传输速率100Mbps。  IN 接上行EtherCAT主站，OUT连接下一个EtherCAT从机
指示灯,用于指示控制器状态。  PWR  为电源指示灯，指示供电是否正常。  SYS  为系统指示灯，可标识不同状态：  ∎ 闪烁频率0.33Hz ： EtherCAT为非OP状态；  ∎ 闪烁频率2Hz ：EtherCAT为OP状态，可通讯；  ∎ 闪烁频率10Hz ：硬件自校验失败；  ∎ 闪烁频率1Hz和3Hz交替闪烁 ：XML(ESI)文件读取失败；  IN  、  OUT  为EtherCAT指示灯，常亮表示已连接，闪烁表示正在进行数据通讯。
电源接口,用于连接24VDC电源。
前置电容放大器接口,用于连接前置电容放大器SE001。
USB通讯接口,连接主机，与调试软件iFollow通讯，用于实现内部调试、固件升级等功能。


规格名称,参数值
供电电压,24VDC ± 10%
测量范围,0.1 ~ 25mm（测量的最大值受标定高度限制）
控制周期,1ms
工作温度,0℃～55℃
工作湿度,10%~95%（无冷凝水）
存储温度,-40℃～70℃
