产品网址：https://www.holychip.cn/Development/index/id/45.html
产品结构：首页->开发工具->8051烧录器->产品详情

|产品名称|产品型号|功能描述|
|----|----|----|
|8051 烧录器|HC-PM51|无|




标题,资料内容,日期
安装指南,8051烧录_HC-PM51-V5_安装手册,2020-12-14
安装指南,8051烧录_HC-PM51-V5_安装教学视频,2020-11-08
使用指南,8051烧录_HC-PM51-V5_使用手册,2020-12-14
使用指南,8051烧录_HC-PM51-V5_使用教学视频,2020-11-08
应用指南,8051烧录_HC-PM51-V5_问题解决指南,2020-11-08
驱动指南,驱动安装手册,2020-12-14
驱动指南,驱动安装教学视频,2020-11-08
驱动下载,HC-DRIVER V3.0.4.0,2020-11-08
软件下载,HC-PM51V6.0.21.7,2024-06-11
硬件购买,HC-PM51 V5,2020-11-08


名称,日期
HC-PM51 V6.0.21.7,2024-06-11
TL0401_8051烧录_HC-PM51-V5_安装手册_Ver1.00_cn,2023-08-19
TL0402_8051烧录_HC-PM51-V5_使用手册_Ver3.00_cn,2023-08-19
