产品网址：https://www.holychip.cn/Development/index/id/46.html
产品结构：首页->开发工具->8051仿真器->产品详情

|产品名称|产品型号|功能描述|
|----|----|----|
|8051 仿真器|HC-LINK|无|




标题,资料内容,日期
安装指南,8051仿真_HC-LINK-V4_安装手册,2020-12-14
安装指南,8051仿真_HC-LINK-V4_安装教学视频,2020-11-08
使用指南,8051仿真_HC-LINK-V4_使用手册,2020-12-14
使用指南,8051仿真_HC-LINK-V4_使用教学视频,2020-11-08
应用指南,8051仿真_HC-LINK-V4_问题解决指南,2020-11-08
驱动指南,驱动安装手册,2020-12-14
驱动指南,驱动安装教学视频,2020-11-08
驱动下载,HC-DRIVER V3.0.4.0,2020-11-08
软件下载,HC-LINK V4.0.18.7,2024-06-11
硬件购买,HC-LINK V4,2020-11-16


名称,日期
HC-LINK V4.0.18.7,2024-06-11
TL0301_8051仿真_HC-LINK-V4_安装手册_Ver1.00_cn,2023-08-19
TL0302_8051仿真_HC-LINK-V4_使用手册_Ver1.00_cn,2023-08-19
