产品网址：https://www.holychip.cn/Development/index/id/49.html
产品结构：首页->开发工具->MTP仿真器->产品详情

|产品名称|产品型号|功能描述|
|----|----|----|
|MTP 仿真器|HC-ICD PRO|Holychip In-Circuit Debugger|




标题,资料内容,日期
使用指南,TL0102_OTP_MTP编译_仿真器使用手册,2024-04-09
驱动指南,驱动安装手册,2020-12-14
驱动指南,驱动安装教学视频,2020-12-14
驱动下载,HC-DRIVER V3.0.4.0,2020-11-08
软件下载,HCIDE_V3.0.17.10S,2024-04-24
硬件购买,HC-ICD PRO,2023-07-17
固件更新,HC-ICD  PRO固件更新,2023-07-14


名称,日期
HC-ICD PRO固件更新.zip,2023-08-19
HCIDE_V3.0.17.10S,2024-04-24
TL0102_OTP_MTP编译_仿真器使用手册_Ver8.00_cn.,2024-04-09
