产品网址：https://www.xlsemi.com/products_DC_DC_buck_hvsr.html#
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|高压降压同步整流恒压型电源芯片|无|高压降压同步整流恒压型电源芯片，输入电压 5-80V，输出电压任意调整，输出电流 0.6-1.5A，支持降压隔离拓扑；具有高精度、高一致性、高效率、高可靠性等特点。产品广泛应用于 GPS 定位、电池管理、通讯基站、智慧消防等|

型号,产品特征,功率,输入电压,频率,开关电流,电压精度,效率,输出电压,基准电压,封装,演示版说明,规格书
XL9711,高压同步、恒压,5W,5~80V,120KHz,0.6A,±2%,93%,ADJ,1.25V,SOP8,,
XL9712,高压同步、恒压,15W,5~80V,120KHz,1.0A,±2%,94%,ADJ,1.25V,TO252-5L,,
XL9713,高压同步、恒压,25W,5~80V,120KHz,1.5A,±2%,94%,ADJ,1.25V,TO263-5L,,
XL9714,高压同步、恒压,30W,5~80V,120KHz,1.5A,±2%,94%,ADJ,1.25V,TO220-5L,,
XL9801  新品！,高压同步、恒压、使能,10W,6~120V,100K~1MHz,1.0A,±1.5%,95%,ADJ,1.2V,SOP8-EP,/,/
XL9802  新品！,高压同步、恒压、使能,15W,6~120V,100K~1MHz,1.5A,±1.5%,95%,ADJ,1.2V,DFN5*6-8,/,/
XL9813  新品！,高压同步、恒压,30W,5~80V,200KHz,3A,±2%,95%,ADJ/5V/15V,1.25V,TO252-5L,/,/
XL9815  新品！,高压同步、恒压,40W,5~80V,200KHz,4A,±2%,95%,ADJ/5V/15V,1.25V,TO263-5L,/,/
XL9816  新品！,高压同步、恒压,50W,5~80V,200KHz,5A,±2%,95%,ADJ/5V/15V,1.25V,TO220-5L,/,/


序号,功能描述,所属应用,文件阅览
1,XL9711 降压隔离拓扑方案原理图、参考数据,方案实例,高性能高压降压隔离拓扑方案简介.pdf
