产品网址：https://www.xlsemi.com/products_MEMS_hall_switch.html
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|霍尔开关传感器|无|包含单极、锁存、全极等系列，具有宽工作电压、低静态电流、50mA 负载能力及宽工作温度范围等优势，采用集电极开路输出架构，具有较强的抗电磁干扰能力|

型号,类型,工作电压,工作点,释放点,磁滞,封装,规格书
XL523,锁存,3.3V~50V,6mT,-6mT,12mT,TO92S-3,
XL528,锁存,3.3V~45V,9mT,-9mT,18mT,SOT23-3,
XL534,锁存,3.3V~80V,8mT,-8mT,16mT,SOT23-3,
XL542,单极,3.3V~45V,7mT,5mT,2mT,SOT23-3,
XL544,单极,3.3V~45V,7.5mT,4.5mT,3mT,SOT23-3,
XL545,单极,3.3V~50V,8mT,4.5mT,3.5mT,TO92S-3,
XL547,单极,3.3V~50V,11mT,8mT,3mT,TO92S-3,
XL561,全极,3.3V~45V,7.5mT,3.5mT,4mT,TO92S-3,
XL531  新品！,锁存,3.3V~80V,5mT,-5mT,10mT,TO92S-3,/
XL532  新品！,锁存,3.3V~80V,5mT,-5mT,10mT,SOT23-3,/
XL533  新品！,锁存,3.3V~80V,8mT,-8mT,16mT,TO92S-3,/
XL521  新品！,锁存,3.3V~45V,5mT,-5mT,10mT,TO92S-3,/
XL522  新品！,锁存,3.3V~45V,5mT,-5mT,10mT,SOT23-3,/
XL524  新品！,锁存,3.3V~45V,8mT,-8mT,16mT,SOT23-3,/
XL525  新品！,锁存,3.3V~45V,3.5mT,-3.5mT,7mT,TO92S-3,/
XL526  新品！,锁存,3.3V~45V,3.5mT,-3.5mT,7mT,SOT23-3,/
XL527  新品！,锁存,3.3V~45V,9mT,-9mT,18mT,TO92S-3,/
XL541  新品！,单极,3.3V~45V,4.5mT,2.5mT,2mT,TO92S-3,/
XL543  新品！,单极,3.3V~45V,5.5mT,2.5mT,3mT,TO92S-3,/
XL546  新品！,单极,3.3V~45V,10mT,5mT,5mT,SOT23-3,/
XL548  新品！,单极,3.3V~45V,12mT,8mT,4mT,SOT23-3,/
XL551  新品！,单极,3.3V~80V,10mT,5mT,5mT,TO92S-3,/
XL552  新品！,单极,3.3V~80V,-10mT,-5mT,-5mT,SOT23-3,/
XL553  新品！,单极,3.3V~80V,12mT,8mT,4mT,TO92S-3,/
XL554  新品！,单极,3.3V~80V,-12mT,-8mT,-4mT,SOT23-3,/
XL562  新品！,全极,3.3V~45V,9mT,6mT,3mT,SOT23-3,/
XL563  新品！,全极,3.3V~45V,10mT,5mT,5mT,TO92S-3,/
XL564  新品！,全极,3.3V~45V,10mT,5mT,5mT,SOT23-3,/
XL571  新品！,全极,3.3V~80V,10mT,5mT,5mT,TO92S-3,/
XL572  新品！,全极,3.3V~80V,10mT,5mT,5mT,SOT23-3,/
XL573  新品！,全极,3.3V~80V,12mT,8mT,4mT,TO92S-3,/
XL574  新品！,全极,3.3V~80V,12mT,8mT,4mT,SOT23-3,/
