产品网址：https://holly-wave.com/products/measurement-system/rfm/ddm/mdm
产品结构：首页->测量系统->射频测量->星载设备测量->真空微放电检测系统

|产品名称|产品型号|功能描述|
|--|--|--|
|真空微放电检测系统|无|对大功率微波无源组件进行地面大功率微放电试验及功率耐受试验。可以对各种微波器件在真空环境下的微放电现象和功率耐受性能进行测试，测试对象为空间用各种电子器件，如微波电缆、转接头、滤波器、隔离器、功率组件、天线馈源等。具有输入功率监测、输出功率监测、反射功率监测、调零频谱监测、传输、反射幅相变化量监测（矢网）、历史数据回放及比对、测试报告输出等功能。|

频率范围,功率大小（单位：瓦）
9KHz-100MHz,100/400/1000/2500
9KHz-225MHz,500/1000/2000/3000
9KHz-400MHz,125/200/500/1000
80MHz-1GHz,100/200/400/500/1000/2000/3000
0.8-2.5GHz,250/400/1000/2000
0.8-4.2GHz,100/200/300/500/1000
0.7-6GHz,20/40/60/100/150/250/500
1-2GHz,50/100/200/250/500/1000
2-6GHz,20/50/80/100/200/250/500/1000
8GHz,40/100/200/300/500
2-18GHz,16/20/25/30
8.2-10.4GHz,5000/8000/23000
10.5-13.5GHz,2000
6-18GHz,10/20/50/100/250/350/500/1000
18-26.5GHz,1/5/10/20/40/50/80/100/200
26.5-40GHz,1/5/10/15/20/40/50/80/100/200
18-40GHz,5/10/20/40/50
