产品网址：https://holly-wave.com/products/measurement-system/msc/ap/2
产品结构：首页->测量系统->相关产品->天线产品->紧缩场反射面高性能标准馈源

|产品名称|产品型号|功能描述|
|--|--|--|
|紧缩场反射面高性能标准馈源|无|为紧缩场反射面提供幅相平稳、等化性好的照射波束|

频率(GHz),驻波,±8°方向图幅度锥削(dB),±8°方向图相位锥削(deg),±8°交叉极化鉴别率(dB),±8°3dB波束宽度
1~2,＜2.5,≤0.8,≤5,≥30,45~70
1.7~2.6,＜1.6,≤0.5,≤3,≥35,50~70
2.6~3.95,＜1.6,≤0.5,≤3,≥35,50~70
3.95~5.85,＜1.6,≤0.5,≤3,≥35,50~70
5.85~8.2,＜1.6,≤0.5,≤3,≥35,50~70
8.2~12.4,＜1.6,≤0.5,≤3,≥35,50~70
12.4~18,＜1.6,≤0.5,≤3,≥35,50~70
18~26.5,＜1.6,≤0.5,≤3,≥35,50~70
26.5~40,＜1.6,≤0.5,≤3,≥35,50~70
40~60,＜1.6,≤0.5,≤3,≥35,50~70
50~75,＜1.6,≤0.5,≤3,≥35,50~70
75~110,＜1.6,≤0.5,≤3,≥35,50~70
