产品网址：http://www.710ap-instrument.com/productMechanies/3.html
产品结构：首页->产品中心->核生化毒爆检测->手持式荧光爆炸物探测仪

|产品名称|产品型号|功能描述|
|--|--|--|
|手持式荧光爆炸物探测仪|ALPHAPEC 520|采用新一代荧光聚合物传感技术，可高灵敏度检测军用炸药类、硝基类、硝铵类和过氧化物类爆炸物，产品体积小、重量轻、灵敏度高，可对固体、液体、气体进行采样，通过检测荧光聚合物的荧光强度快速识别周围环境中的爆炸物。可广泛应用于机场、海关、边防、港口、地铁、火车站、重要会议场所等领域的安检。|

探测原理,荧光聚合物传感技术
探测种类,TNT、DNT、硝基甲苯、硝化甘油、硝酸铵、黑火药、黑索金、太安、塑性炸药、铵梯等40多种爆炸物或易制爆化学品
采样方式,擦拭采样或吸气采样
探测精度,≥2 pg(TNT)
误报率,≤1.0%
响应时间,≤10 秒
预热时间,≤60 秒
清洗时间,≤10 秒
工作温度,-20℃～+45℃
贮存温度,-40℃～+55℃
报警方式,声光报警或屏幕显示震动
尺寸,300 mm×130 mm×160 mm
重量,≤1.5 Kg
