产品网址：https://www.yes-lcd.com/product/173.html
产品结构：root->YMCE1027-0320AAAMFGN_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|Glass Substrate Electronic Paper|YMCE1027-0320AAAMFGN|Ultra wide viewing angle<br>132 segments design<br>High reflectance<br>High contrast segment display<br>Commercial temperature range<br>EPD segment driver module<br>Ultra low power consumption|

Item,Description
Operating Voltage:,3.0
Drive method,STATIC
Viewing Direction,FREE
Operating Temp,0~50
Storage Temp,-25~70
Display type,Positive
Display Scale,"Black, White"
Segment Number,132
