产品网址：https://www.yes-lcd.com/product/168.html
产品结构：root->YMS264176-0270BAAMFGN_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|YMS264176-0270BAAMFGN|无|高对比度、高反射率、超宽视角、超低功耗、纯反射模式、双稳态、商业温度范围、横屏竖屏模式、防眩光硬涂层前表面、低电流深度睡眠模式、片上显示 RAM、片上 OTP 存储波形、串行外设接口可用、片上振荡器、片上升压和稳压器控制用于生成 VCOM、栅极和源极、I2C 信号主接口读取外部温度传感器、可提供 COG 封装 IC 厚度 280um|

Parameter,Specifications,Unit,Remark
Screen Size,2.7,Inch,-
Display Resolution,264(H)  ×176(V),Pixel,-
Active Area,57.288(H)  ×38.192(V),mm,-
Pixel Pitch,0.217  ×0.217,mm,-
Pixel Configuration,Square,,-
Outline Dimension,70.42(H)  ×45.8(V)  ×0.98(D),mm,TBD
Weight,6.08  ±0.5,G,-
Surface Treatment,Anti-Glare,-,-
Driver IC,G2 EK79652,-,-
View Angle,Ultra wide viewing angle,-,-
RoHS,Compliant,-,-
FPC,24pin /0.5 Pitch /  AYF532435,-,-
Direction,Portrait,-,
