产品网址：https://www.yes-lcd.com/product/258.html
产品结构：root->YTS200DLAF-01-100N_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|YTS200DLAF-01-100N|无|无|

No  .,Item,Contents,Unit
1,Display  Size,2.0,Inch
2,Resolution,240RGB*320,
3,Viewing Direction,ALL VIEW,
4,TFT Outline Dimension,35.6*48.7*2.47,mm
5,Panel AA,30.6*40.8,mm
6,Module  Color,262,K
7,Luminance,530,cd/m  2
8,Module Interface,8080 series CPU  ，  RGB,
9,Operating temperature,-20  ℃  ~70  ℃,℃
1  0,Storage temperature,-30  ℃  ~80  ℃,℃
