产品网址：https://www.empyrean-tech.com/products/eda/analog.html
产品结构：root->CompleteSolutionforAnalogDesign_Product_EmpyreanTechnologyCo.,Ltd

|产品名称|产品型号|功能描述|
|--|--|--|
|Complete Solution for Analog Design|无|提供模拟 IC 设计的完整解决方案，包括原理图和布局编辑、SPICE 模拟器、物理验证工具、寄生 RC 提取工具、可靠性分析工具等|
|RF IC Design Solution|无|无|
|Digital SoC Design Solution|无|无|
|Complete Solution for Flat Panel Display Design|无|无|
|Foundry EDA Solution|无|无|
|Advanced Packaging Design Solution|无|无|
|Schematic and Layout Editor|无|无|
|SPICE Simulator|无|无|
|Heterogeneous SPICE Simulator|无|无|
|Physical Verification|无|无|
|Parasitic RC Extraction|无|无|
|Layout Reliability Analysis|无|无|
|Transistor-level Power Integrity Analysis|无|无|
|Standard Cell Library Characterization|无|无|
|Standard Cell Library and IP Validation|无|无|
|Clock Diagnosis and Analysis|无|无|
|Timing and Power Optimization|无|无|
|Accurate Timing Simulation and Analysis|无|无|
|Layout Integration and Analysis|无|无|
|Device Model Extraction|无|无|
|Memory Compiler Solution|无|无|
