产品网址：http://icpc.cn/cms/item/view?table=product&id=32
产品结构：当前位置：首页->产品与服务->龙芯->主板->ATX-E0031龙芯双3B服务器

|产品名称|产品型号|功能描述|
|--|--|--|
|ATX-E0031 龙芯双 3B 服务器主板|ATX-E0031|以龙芯双 3B 多核处理器和 AMD RS780E SB710 芯片组为核心，符合 E-ATX 行业标准，支持 16GB DDR3 内存，双屏显示，多路 10/100/1000 自适应以太网，USB，SerialATA，多路 PCI Express，PCI 接口，BMC 管理子卡接口，CPU 及关键核心器件高度国产化，支持中标麒麟操作系统，可广泛应用于政府、工业企业、军工航天等领域|




处理器,龙芯  3B  （主频  21.1GHz）
缓存,集成  8MB  的分体共享高速缓存
内存,16GB DDR3-SDRAM@>533MHz
显示,VGA  接口
存储,4MBSPI  芯片  （PMON）
功耗,<150W
环保,ROHSS  4  路  10/100/1000M  自适应以太网口  2  路  VGA  接口  7  个  U SB2.0  接口，  1  个连接至  BMC  6  个  SATA  接口，  1  个连接系统盘，  1  个连接光驱，其余  4  个用作数据盘接口  1  个  PCIex16  接口，  1  个  PCIe x8  接口，  2  个  PCIe x4  接口  1  个  PCIe  接口
主板接口,1  个提供  SO-DIMM  插槽的  BMC  1  个电源指示灯、  1  个硬盘指示灯、  1  个系统失效灯  1  个开关机按钮和  1  个复位按钮接口  1  个管理网络接口  1  个  9  针串口  1  个耳机麦克接口  3  个机箱风扇接口，支持  PWM  调速
软件系统,"板载  PMON,  支持  Linux  操作系统"
结构尺寸,305mm x 330mm
温度范围,工作温度：  0°C-+40°C  存储温度：  -40°C-+55°C
