产品网址：https://www.lynxi.com/lingqisupsupKA200xilie/26.html
产品结构：产品中心类脑计算边缘产品->领启®KA200(-S)系列->HS110

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算边缘产品|HS110|面向广泛边缘应用场景的轻量级边缘设备，采用独立 CPU+单 AI 模组架构，可以处理较复杂应用，算力可达 48TOPS、具备大容量存储扩展功能、开源配置、体积小、支持温度范围宽、环境适应性强、易于维护管理等特点。主要应用于智能视频监控、分析、数据存储等应用场景，可以广泛应用于城管、交通、电力、园区等区、超市等复杂环境区域的应用。|

CPU,RK3568  四核 64 位 Cortex-A55 处理器，22nm 先进工艺，主频最高 2.0GHz
内存,LPDDR4x  容量：4GB 或 8GB  位宽：32bit
存储,eMMC  容量：32GB 或 64GB
HM100 类脑模组,KA200(-S) 类脑计算芯片  30 组计算单元  25 万个神经元  2500 万个神经突触  8 个 ARM Cortex-A53 core
HM100 类脑模组,AI 算力  48TOPS（INT8）  24TFLOPS（FP16）
HM100 类脑模组,内存：LPDDR4  X
HM100 类脑模组,容量：  8G  B
HM100 类脑模组,位宽：  64bit
HM100 类脑模组,速率：  3200MT/s
HM100 类脑模组,模块存储  32GB/64GB eMMC  8MB SPI Nor Flash
HM100 类脑模组,图像 / 视频编解码能力  JENC：300fps@1920*1080  JDEC：250fps@1920*1080  VENC：250fps@1920*1080  VDEC：500fps@1920*1080
扩展存储,Micro SD 卡槽 x1  M.2 SATA 硬盘接口 x1，尺寸 2280，符合 SATA3.0 规范。
RS232 接口,1 个
RS485 接口,1 个
千兆以太网接口,2 个，10Mbps/100Mbps/1000Mbps 自适应。
USB3.0 接口,2 个，其中 1 个为 Host 模式，1 个为 OTG 模式，Type A，每个接  口设计供电能力不低 于 1A
USB2.0 接口,2 个，全部为 Host 模式，Type A。
HDMI 接口,支持 HDMI 2.0，4K@60Hz
MIC/OUT,音频输入接口 / 音频输出接口
CAN 接口,1 个，兼容 CAN 2.0B 协议。
信号输入 / 输出接口,信号输出 4 个，隔离输出，输出电压可根据电压引脚配置；  信号输入 4 个，隔离输入，限压 24V 输入，限流 10mA。
WiFi,1 个，支持 MIMO 2x2，  支持 802.11 ac/a/b/g/n 协议，工作在 STA 模式。
5G,1 个，M.2 接口，支持 MIMO 4x4。
工作温度,-20℃ ~65 ℃
认证,CCC
散热方式,被动散热
功耗,峰值功耗 28W，典型功耗 14W
尺寸,宽 × 深 × 高：214mm×136mm×44mm
,
操作系统,Ubuntu 20.04
