产品网址：http://www.cellixsoft.com/product/213.html
产品结构：root->工艺分析-依托自主研发的EDA软件，提供集成电路分析和设计服务-北京芯愿景软件技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|EDA 软件|无|无|
|Filmshop|无|无|
|Panovas Pro|无|无|
|Catalysis Series|无|无|
|ChipLogic Family|无|无|
|Hierux System|无|无|
|BoolSmart System|无|无|
|DesignSmart System|无|无|
|VeriSmart System|无|无|
|IC 分析服务|无|无|
|工艺分析解决方案|无|无|
|实验室|无|无|
|工艺分析|无|无|
|技术分析解决服务|无|无|
|服务综述|无|无|
|电路提取和分析|无|无|
|竞争力分析|无|无|
|知识产权解决方案|无|无|
|平台综述|无|无|
|专利侵权分析|无|无|
|布图设计侵权分析|无|无|
|专利产品映射|无|无|
|现有技术查询|无|无|
|专利估值|无|无|
|IC 设计服务|无|无|
|设计外包|无|无|
|一站式定制|无|无|
|定制版图设计与验证|无|无|
|安全优化设计|无|无|
|可靠性加固设计|无|无|
|量产外包|无|无|
|IP 核|无|无|
|IP 核综述|无|无|
|Securax IP|无|无|
|Gemini IP|无|无|
|Taurus IP|无|无|
|tireprotect|无|无|
