产品网址：https://www.njzkwiot.com/html/product-2.4.html
产品结构：root->2.4GHz无线射频芯片

|产品名称|产品型号|功能描述|
|--|--|--|
|2.4GHz 无线射频芯片|Si24R1、Ci24R1（SOP8）、Ci24R1（DFN8）、Si24R2、Si24R2E、Si24R2F、Si24R2F+、Si24R2H|2.4GHz 有源在整个物联网应用中是感知层无法或缺的一环，在一些无法通电的场所，为整个物联网方案赋能。具有广应用、低成本、低功耗、高可靠、速量产等特点。|

项目  型号,2.4GHz有源RFID芯片,2.4GHz有源RFID芯片.1,2.4GHz有源RFID芯片.2,2.4GHz有源RFID芯片.3,2.4GHz数据通信芯片,2.4GHz数据通信芯片.1,2.4GHz数据通信芯片.2,2.4GHz数据通信芯片.3,Unnamed: 9
项目  型号,,*  Si24R2E,Si24R2F,Si24R2F+,*  Si24R2H,*  Si24R1,Ci24R1,Ci24R1,Si24R2
封装,QFN20,QFN20,QFN20,QFN32,QFN20,SOP8,DFN8,QFN20,
频段,2.4GHz,2.4GHz,2.4GHz,"2.4GHz,125KHz,BLE",2.4GHz,"2.4GHz,BLE","2.4GHz,BLE",2.4GHz,
收/发,单发射,单发射,单发射,2.4GHz发射&125KHz接收,收发一体,收发一体,收发一体,单发射,
最高发射功率,+7dBm,+12dBm,+12dBm,+14dBm,+7dBm,+11dBm,+11dBm,+7dBm,
睡眠电流,700nA,1uA,1uA,1uA,1uA,2uA,2uA,300nA,
发射数据速率,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,250Kbps、1Mbps、2Mbps,
接收灵敏度,/,/,/,125KHz接收灵敏度60uVRMS,-83dBm@2Mbps,-80dBm@2Mbps,-80dBm@2Mbps,/,
产品特性,*  RFID行业  低功耗方案,优化的防拆设计,优化射频性能、增加NTC测温、增加自动唤醒间隔、优化蓝牙性能,*  多射频技术融合，定位、测温、PKE等,*  有源RFID  双向系统,双向系统超低成本,双向系统超低成本,单向系统超低成本,
推荐使用场景,智慧校园、电动车防盗,固定资产管理、宠物蓝牙信标,畜牧业标签、智能冷链物流、资产管理,冷链物流系统、智慧畜牧业-牛羊耳标,接收基站、智能学生证,智能家居、玩具,智能家居、玩具,校讯通,
NVM可编程次数,128次,64次,64次,32次,,,,,
多信道发射,一个或三个信道发相同数据,最多四信道，每个信道发相同/不同数据,最多四信道，每个信道发相同/不同数据,最多四信道，每个信道发相同/不同数据,,,,,
低电压警报,√,√,√,√,,,,,
防拆警报,√,√,√,√,,,,,
温度报警,×,内部集成温度传感器,NTC电阻测温,内部集成温度传感器，可外接NTC电阻/MLX90615温度传感器/SHT21温湿度传感器,,,,,
按键触发,×,集成多种触发模式,集成多种触发模式,集成多种触发模式,,,,,
加密功能,只禁读,独立加密算法,独立加密算法,独立加密算法，增加DES,,,,,
