产品网址：https://www.njsme.com/?aPRODUCTSPRODUCTSC1700V/76.html
产品结构：root->AutomotiveModulese-FullBridge-750V-FullBridge-南京银茂微电子制造有限公司-

|产品名称|产品型号|功能描述|
|--|--|--|
|Full Bridge|Automotive Modulese-Full Bridge-750V|无|

VCES=750V,VCES=750V.1,VCES=750V.2,VCES=750V.3,VCES=750V.4,VCES=750V.5
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT400FF75C8S,750,400,Trench FS,,
GT600FF75C8S,750,600,Trench FS,,
GT820FF75C8S,750,820,Trench FS,,
,,,,,
,,,,,
VCES=750V,VCES=750V,VCES=750V,VCES=750V,VCES=750V,VCES=750V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT200FF75C8NS,750,200,Trench FS,,
GT300FF75C8NS,750,300,Trench FS,,
GT400FF75C8NS,750,400,Trench FS,,
,,,,,
