产品网址：http://www.san-u.com/product/index_2.html
产品结构：root->产品中心-厦门三优光电股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|PD300 TO-CAN|PD300|无|
|PD80 TO-CAN|PD80|无|
|Mini PD TO-CAN|Mini PD|无|
|40G Optical Engine ODM|40G|无|
|25G 1310nm TOSA|25G 1310nm|无|
|10G 850nm TOSA|10G 850nm|无|
|25G APD-TIA TO-CAN|25G APD-TIA|无|
|25G PIN-TIA TO-CAN|25G PIN-TIA|无|
|25G BOSA|25G|无|
|40G/100G COB OEM|40G/100G|无|
|40G/100G Optical Engine ODM|40G/100G|无|
|TO46 VCSEL TO-CAN|TO46 VCSEL|无|
|1.25G PIN-TIA TO-CAN|1.25G PIN-TIA|无|
|APD-TIA TO-CAN|APD-TIA|无|
|LD TO-CAN|LD|无|
|PD60 TO-CAN|PD60|无|
|Double Windows Temperature Sensor|Double Windows|无|
|Temperature Sensor(TO39)|TO39|无|
