产品网址：http://www.znwdz.com/productinfo/729000.html
产品结构：root->场效应管TO-220封装-厦门中能微电子有限公司-凯茂半导体（厦门）有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应管|TO-220 封装|无|

TYPENO.,PACKAGE,ID(A),VDSS(V),RDS(on)(Ω),VGS(th)(V),CISS(pf),Download
KM2N60P,TO-220,2,600,3.7,2-4,250.1,Datasheet
KM2N65P,TO-220,2,650,4.1,2-4,261.8,Datasheet
KM3N80P,TO-220,3,800,4.2,3-4.5,485.0,Datasheet
KM4N60P,TO-220,4,600,2.0,2-4,450.1,Datasheet
KM4N65P,TO-220,4,650,2.7,2-4,464.0,Datasheet
KM4N70P,TO-220,4,700,3.2,2-4,350.0,Datasheet
KM4N80P,TO-220,4,800,3.0,3-5,680.0,Datasheet
KM4N90P,TO-220,4,900,4.2,3-5,1000.0,Datasheet
KM5N50P,TO-220,5,500,1.65,2-4,565.0,Datasheet
KM5N60P,TO-220,5,600,2.3,2-4,479.8,Datasheet
KM5N65P,TO-220,5,650,2.2,2-4,479.8,Datasheet
KM5N80P,TO-220,5,800,2.0,2-4,677.1,Datasheet
KM5N100P,TO-220,5,1000,2.8,2.5-4.5,1100.0,Datasheet
KM6N60P,TO-220,6,600,1.35,2-4,690.1,Datasheet
KM6N70P,TO-220,6,700,1.6,2-4,480.0,Datasheet
KM7N65P,TO-220,7,650,1.4,2-4,902.3,Datasheet
KM7N80P,TO-220,7,800,1.45,3-5,1580.0,Datasheet
KM8N60P,TO-220,8,600,1.2,2-4,910.0,Datasheet
KM8N65P,TO-220,8,650,1.6,2-4,902.3,Datasheet
KM8N80P,TO-220,8,800,1.45,3-5,1580.0,Datasheet
KM9N60P,TO-220,9,600,0.9,2-4,968.0,Datasheet
KM9N90P,TO-220,9,900,1.1,2-4,1634.0,Datasheet
KM10N60P,TO-220,10,600,0.72,2-4,1560.0,Datasheet
KM10N65P,TO-220,10,650,1.4,2-4,1143.0,Datasheet
KM10N80P,TO-220,10,800,1.1,3-5,2150.0,Datasheet
KM12N60P,TO-220,12,600,0.7,2-4,1470.0,Datasheet
KM12N65P,TO-220,12,650,0.8,2-4,1476.0,Datasheet
KM13N50P,TO-220,13,500,0.6,2-4,1630.0,Datasheet
KM15N60P,TO-220,15,600,0.65,2-4,2600.0,Datasheet
KM20N60P,TO-220,20,600,0.4,2-4,2708.0,Datasheet
KM60N06P,TO-220,60,60,0.018,2-4,1370.0,Datasheet
KM60N10P,TO-220,60,100,0.024,2-4,1320.0,Datasheet
KM50N06P,TO-220,50,60,0.023,2-4,1375.8,Datasheet
KM100N08,TO-220,100,80,0.01,1-3,3700.0,Datasheet
KM630P,TO-220,9,200,0.25,2-4,720.0,Datasheet
KM730P,TO-220,6,400,0.7,2-4,486.0,Datasheet
KM740P,TO-220,10,400,0.45,2-4,801.0,Datasheet
KM830P,TO-220,5,500,1.2,2-4,479.0,Datasheet
KM840P,TO-220,8,500,0.68,2-4,900.0,Datasheet
KM4410P,TO-220,81,100,0.009,2-4,4136.0,Datasheet
KM80N70P,TO-220,80,70,0.01,2-4,3350.0,Datasheet
KM75N75P,TO-220,75,75,0.009,2-4,3487.0,Datasheet
