产品网址：https://www.zhmsemi.com/products/ev_igbt_module/drivez1w.html
产品结构：root

|产品名称|产品型号|功能描述|
|--|--|--|
|DriveZ1W|无|A.LOW VCE(sat)<br>B.Low Switching Losses<br>C.Ultrasonic Welding of Power Terminals|

Package,Product,Vces(V),Ic(A),VCE(sat)(V),Configuration,typical value @Tj=25℃,typical value @Tj=25℃.1,typical value @Tj=25℃.2
Package,Product,Vces(V),Ic(A),VCE(sat)(V),Configuration,VF(V),Eon(mJ),Eoff(mJ)
DriveZ1W,6K300M07A1P,650,300,1.55,six-pack,1.60,1.9,24.7
DriveZ1W,6K400M07A1P,650,400,1.55,six-pack,1.60,2.4,29.3
DriveZ1W,6K550M07A1P,650,550,1.55,six-pack,1.60,2.8,32.5
DriveZ1W,6K300M08A1P,750,300,1.40,six-pack,1.75,1.9,25.8
DriveZ1W,6K400M08A1P,750,400,1.40,six-pack,1.75,2.6,29.7
DriveZ1W,6K550M08A1P,750,550,1.40,six-pack,1.75,3.2,36.7
DriveZ1W,6K200M120A1P,1200,200,1.70,six-pack,1.80,4.2,15.8
DriveZ1W,6K300M120A1P,1200,300,1.70,six-pack,1.80,5.8,23.5
DriveZ1W,6K300M07A1P2,650,300,1.55,six-pack,1.60,1.9,24.7
DriveZ1W,6K400M07A1P2,650,400,1.55,six-pack,1.60,2.4,29.3
DriveZ1W,6K550M07A1P2,650,550,1.55,six-pack,1.60,2.8,32.5
DriveZ1W,6K660M07A1P2,650,660,1.55,six-pack,1.60,3.3,36.4
DriveZ1W,6K300M08A1P2,750,300,1.40,six-pack,1.75,1.9,25.8
DriveZ1W,6K400M08A1P2,750,400,1.40,six-pack,1.75,2.6,29.7
DriveZ1W,6K550M08A1P2,750,550,1.40,six-pack,1.75,3.2,36.7
DriveZ1W,6K660M08A1P2,750,660,1.40,six-pack,1.75,3.8,39.8
