产品网址：https://autochips.com/products.html?pro=amp&rid=6
产品结构：root->产品服务_杰发科技-汽车电子芯片专业设计公司

|产品名称|产品型号|功能描述|
|--|--|--|
|汽车应用处理器|AC8025|无|
|汽车应用处理器|AC8015|无|
|汽车应用处理器|AC8257|无|
|车联网模组|AC8257|无|
|汽车应用处理器|AC8225|无|
|汽车应用处理器|AC8227L|无|
|车规级微控制器|AC7840x|无|
|车规级微控制器|AC7802x|无|
|车规级微控制器|AC7801x|无|
|车规级微控制器|AC781x|无|
|音频功率放大器|AC7325|车规级 ClassAB 类音频功率放大器芯片，具有 I2C 控制及自诊断功能；结合先进的高效模式，提高了热效率；可兼容同类产品脚位，并降低生产成本。高效模式：相比传统功放，热效率提升 70%，大大减少散热片面积。全面诊断：相比传统功放，I2C 诊断有效检测扬声器状态，提高出厂品质，提高维护效率。卓越音域：扩大到 100kHz 的带宽给金耳朵带来 Hi-Fi 级的感受。强力抗噪：增加电磁干扰抑制电路设计，防止手机信号对车机干扰可能产生的 POP 音。适应启停：当发动机停止-启动，瞬间电压低至 6V 时，芯片仍继续工作，无声音干扰。高可靠性：AEC-Q100|
|胎压监测专用传感器芯片|AC5121|首款全集成高性能胎压监测专用传感器芯片|
|软件平台|AVM|成熟量产的完整解决方案，满足客户定制化需求|
|解决方案|电机算法|AutoChips 自主知识产权电机控制算法|
