产品网址：https://www.tiandy.com/product/AIsxj/list_79_3.html
产品结构：root->AI摄像机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|200 万星光变焦红外人脸抓拍防暴半球|TC-C52MS 配置：I3/A/E/2.8-12mm|无|
|500 万星光变焦全光谱人脸抓拍一体机|TC-C55LS 配置：I5W/A/E/2.8-12mm|无|
|500 万星光变焦红外人脸抓拍防暴半球|TC-C55MS 配置：I3/A/E/2.8-12mm|无|
|500 万超星光变焦人脸抓拍一体机|TC-A55L2 配置：2/A/E/2.8-12mm|无|
|500 万超星光变焦人脸抓拍半球|TC-A55M2 配置：2/A/E/2.8-12mm|无|
|400 万超星光结构化一体机|TC-A95L5 配置：0/A/2.8-12mm|无|
|500 万超星光变焦车辆抓拍一体机|TC-A55L7 配置：2/A/E/2.8-12mm|无|
|400 万超星光结构化一体机|TC-A95L5 配置：0/A/8-32mm|无|
|1200 万星光级全景鱼眼网络摄像机|TC-NC9201S3E-12MP-I2|无|
|400 万超星光结构化一体机|TC-A95L5 配置：0/A/10-50mm|无|
|500 万星光定焦火点检测专用一体机|TC-C55LQ 配置：I5W/E/Y/HD/4mm|无|
|500 万超星光定焦高空抛物专用一体机|TC-C55BP 配置：E/Y/PW/(4/6/8)mm|无|
