产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/263/p/2.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|5MP Fixed Starlight IR Bullet Camera|TC-C35WS|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|5MP Fisheye Camera|TC-C35VN|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.02Lux@(F2.0,AGC ON),B/W:0Lux with IR|
|5MP Motorized Starlight IR Bullet Camera|TC-C35US|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|5MP Motorized Starlight IR Bullet Camera|TC-C35US|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|5MP Motorized Starlight IR Turret Camera|TC-C35SS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|5MP Fixed Starlight IR Turret Camera|TC-C35XS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|5MP Motorized Starlight IR Dome Camera|TC-C35MS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|5MP Motorized Starlight IR Dome Camera|TC-C35MS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|5MP Fixed Starlight IR Dome Camera|TC-C35KS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|5MP Fixed Starlight IR Dome Camera|TC-C35KS|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
