产品网址：http://www.wds-motor.com/newsinfo/2311436.html
产品结构：root->多合一总成-企业官网

|产品名称|产品型号|功能描述|
|----|----|----|
|多合一总成|无|实现电机控制器、电机、减速箱、DCDC、OBC 和 PDU 模块的功能集成，采用经大批量验证的成熟技术实现机、电、磁的稳定可靠集成，系统效率高，抗干扰能力强|

参数,ETP1D,ETP1D.1,ETP1D.2,EPT2D,EPT2D.1
型号,EPT1D-35,EPT1D-35,EPT1D-50,EPT2D-120,EPT2D-150
功率（  Kw  ）,18/35,18/35,24/50,45/120,60/150
轮边最大转速（  rpm  ）,1167,1167,1167,1317,1317
轮边最大扭矩（  Nm  ）,1030,1030,1361,2550,2824
速比,10.89,10.89,10.89,9.11,9.11
DCDC/OBC,DC/OBC:1.5+3.3  或  2.5+6.6  可选,DC/OBC:1.5+3.3  或  2.5+6.6  可选,DC/OBC:1.5+3.3  或  2.5+6.6  可选,2.5+6.6,2.5+6.6
PDU,三路保险  +  直流快充可选配,三路保险  +  直流快充可选配,三路保险  +  直流快充可选配,三路保险  +  直流快充可选配,三路保险  +  直流快充可选配
防护等级,IP67,IP67,IP67,IP67,IP67
冷却方式,液冷（流量  >8L  ）,液冷（流量  >8L  ）,液冷（流量  >8L  ）,液冷（流量  >8L  ）,液冷（流量  >8L  ）
重量（  Kg  ）,51.2,54.8,54.8,88.3,96.2
集成配置,集成电机、控制器、减速箱、  DCDC  、  OBC  、  PDU,集成电机、控制器、减速箱、  DCDC  、  OBC  、  PDU,集成电机、控制器、减速箱、  DCDC  、  OBC  、  PDU,集成电机、控制器、减速箱、  DCDC  、  OBC  、  PDU,集成电机、控制器、减速箱、  DCDC  、  OBC  、  PDU


参数,ETPDY,ETPDY.1,ETPDY.2,EPTDQ,EPTDQ.1
型号,EPTDY-20,EPTDY-20,EPTDY-25,EPTDQ-25,EPTDQ-29
电压范围（  V  ）,60-130,60-130,60-130,90-170,90-170
功率（  Kw  ）,13/20,13/20,13/25,13/25,15/29
轮边最大转速（  rpm  ）,1009,1009,1009,1022,1022
轮边最大扭矩（  Nm  ）,618,618,696,696,812
速比,7.73,7.73,7.73,7.73,7.73
防护等级,IP67,IP67,IP67,IP67,IP67
冷却方式,自然风冷,自然风冷,自然风冷,自然风冷,自然风冷
重量（  Kg  ）,39.3,42.8,42.8,45.2,49.7
集成配置,集成电机、控制器、减速箱（或后桥）,集成电机、控制器、减速箱（或后桥）,集成电机、控制器、减速箱（或后桥）,集成电机、控制器、减速箱（或后桥）,集成电机、控制器、减速箱（或后桥）
