产品网址：https://www.myrntec.com/en/portable_energy_storage/20.html
产品结构：root->CriusR8_PortableEnergyStorage_Products_AnhuiRuinengTechnologyCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Power Pack|RN-2421、RN-1221、RN-48104、RN-24208、LFP-280Ah|无|
|Portable Energy Storage|Crius R8|Enjoy your life to the full with an on-the-go power supply-Crius R8|
|Residential Energy Storage|“Rui Cube”RESS-Y、“Rui Cube”RESS、“Rui Optipower”|无|
|Industrial Commercial Energy Storage|“Rui Mega Cube”RIES|无|
|Grid-side Energy Storage|“Rui Giga Cube”RGES series (liquid-cooled)、“Rui Giga Cube”RGES series (air-cooled)、“Giga Cube”RGES series（30 foot）、“Giga Cube”RGES series（40 foot）|无|

Battery type,Battery type.1,Lithium iron phosphate battery cell,Lithium iron phosphate battery cell.1
Battery capacity,Battery capacity,1008Wh/3150000mAh,1008Wh/3150000mAh
Cycle life,Cycle life,3000 times(@25℃),3000 times(@25℃)
Operation temperature,Operation temperature,-10℃-40℃,-10℃-40℃
Rated output power,Rated output power,1200W/220V,1200W/220V
Inverter,Inverter,Sinusoidal wave,Sinusoidal wave
Charging,Charging with electrical supply/time,Charging with electrical supply/time,220V180W/4h
Charging,Charging with solar panels/time,Charging with solar panels/time,24V100W/6h
Charging,Charging with vehicle/time,Charging with vehicle/time,12V60W/10h
Output,Output,2*AC220V； 1*USB5V/2.4A  QC18W*2； 1*12.5V/8A Cigarette Lighter,2*AC220V； 1*USB5V/2.4A  QC18W*2； 1*12.5V/8A Cigarette Lighter
Enclosure,Enclosure,ABS+PC,ABS+PC
Net weight,Net weight,14kg,14kg
Size(L*W*H),Size(L*W*H),366*235*266mm,366*235*266mm
Disposition,Disposition,R8,R8
Basic functions,Basic functions,LED light、DC output、AC output、USB、Type-C、Cigarette Lighter,LED light、DC output、AC output、USB、Type-C、Cigarette Lighter
Bluetooth speaker,Bluetooth speaker,●,●
Wireless charging,Wireless charging,●,●
APP control,APP control,●,●
Solar panel,Solar panel,○,○
Storage bag,Storage bag,○,○
Microphone,Microphone,○,○
Projector/projection screen,Projector/projection screen,○,○
Flashlight,Flashlight,○,○
Remarks； represents standard conf urationrepresents optional configuration represents no coni guration,Remarks； represents standard conf urationrepresents optional configuration represents no coni guration,Remarks； represents standard conf urationrepresents optional configuration represents no coni guration,Remarks； represents standard conf urationrepresents optional configuration represents no coni guration
