产品网址：https://www.myrntec.com/ldzz
产品结构：root->新能源锂电智能制造整线解决方案_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|电池管理系统 BMS|100V 平台 BMS 系统、500V 平台 BMS 系统、500V 平台 BMS 系统-12V 供电、800V 平台 BMS 系统-24V 供电、BDU/PDU、工业车辆用 BMS 4G 模块、工业车辆用 BMS G1B 模块、二三轮车用 BMS 48V 系统、二三轮车用 BMS 72V 系统|无|
|电池智能制造 IME|无|无|
|电池总成系统 PACK|无|无|
|新能源行业核心部件 EOL 测试系统|控制单元 EOL 测试系统、动力/储能电池包 EOL 测试系统、高压配电单元 EOL 测试系统、电芯/模组/PACK 充放电自动化测试系统、0V~1000V 模组/Pack 充放电测试系统、1500V~2000V 电池族充放电自动化测试系统、5MW 储能舱测试平台、FCT 测试系统|无|
|锂电池充放电自动化测试解决方案|无|无|
|ICT+FCT 汽车电子整线测试系统|无|无|
|新能源锂电智能制造整线解决方案|动力电池模组 PACK 整线解决方案、储能电池模组 PACK 整线解决方案、高压配电单元整线解决方案、储能舱整线解决方案|无|
|锐兆方工商业储能 RISS 系列|RISS211 型、液冷储能站、风冷储能站|无|
|锐亿方电网侧 RGES 系列|无|无|
|锐魔方户用储能 RESS 系列|RESS2600 型、RESS5120 型|无|
|锐致远便携储能 RMES 系列|RMES500 型|无|
|动力电池 PACK 系列|车规级动力电池 PACK15/24Kwh、电动高空作业自行走平台专用 PACK、国标电动轻型两轮车 PACK、中大型电动摩托车专用 PACK|无|
|储能用电池模组|标准化模组产品|无|
