产品网址：http://www.hkhonm.com/product_detail/41.html
产品结构：root->气压计-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|气压计|无|采用独特的 LGA 封装形式，稳定可靠。可提供精确的、与外界感测压力线性相关的数字信号输出。防水气压计产品覆盖更多压力量程，可进行大气压力测量和深度测量，介质隔离的防水胶可保护器件免受海水腐蚀，适用于可穿戴产品。内部集成 24-bit Sigma-Delta ADC、OTP 存储器及 I2C/SPI 通信接口，外部 MCU 可通过通信接口读取 ADC 转换后的数据和 OTP 里的器件校准参数，通过特定校准公式计算出当前压力值（Pa）|

型号,尺寸（mm）,量程,类型,噪声,功耗,精度,FIFO,应用
HK6001,2.0x2.0x0.8,30-130 kPa,绝压防水,0.6 Pa,20 uA,±0.5 hPa,32 depth,手机
HK6002,2.0x2.0x0.8,30-110 kPa,绝压防水,1 Pa,20 uA,±1 hPa,31 depth,手机
HK6003,2.0x2.5x0.99,30-130 kPa,绝压防水,0.6 Pa,20 uA,±0.5 hPa,32 depth,无人机
HK6004,2.0x2.5x0.99,30-110 kPa,绝压防水,1 Pa,20 uA,±1 hPa,-,无人机
HK6005,3.5x2.65x1.0,30-130 kPa,绝压防水,0.6 Pa,20 uA,±0.5 hPa,32 depth,穿戴
HK6006,4.0x4.0x2.0,0-40 kPa,差压防水,1 Pa,20 uA,±1 mmHg,31 depth,手环/手表
HK6007,2.7x2.7x1.77,30-110 kPa,绝压防水,1 Pa,20 uA,±1 hPa,31 depth,运动手表
HK6008,2.7x2.7x1.94,30-500 kPa,绝压防水,1 Pa,20 uA,30-110 kPa/±1hPa 30-500 kPa/±30hPa,31 depth,运动手表
HK6009,2.7x2.7x1.94,30-600 kPa,绝压防水,1 Pa,20 uA,30-110 kPa/±1hPa 30-600 kPa/±30hPa,31 depth,运动手表
HK6010,2.7x2.7x1.94,30-1500 kPa,绝压防水,20 Pa,20 uA,30-500 kPa/±20hPa 30-1500 kPa/±50hPa,31 depth,运动手表
