产品网址：http://www.lanor-china.com/product/25_57
产品结构：首页->产品中心->环保系列->中压紫外线杀菌器-

|产品名称|产品型号|功能描述|
|--|--|--|
|中压紫外线杀菌器|无|使用中压紫外线杀菌器为源水提供有效的安全屏障，对其中存在的有害病原体进行紫外线消毒，包括细菌、病毒和耐氯原虫，如隐孢子虫和贾第鞭毛虫。中压紫外消毒是一种无化学的物理过程，产生零消毒副产物。|

型号,灯数量,反应器尺寸,进出水口径,处理水量T/H,总功率（W）
MUY21C70,1芯,Φ159*915,"4"" DN100",70,2kw*1
MUY22C130,2芯,Φ219*915,"6"" DN150",130,2kw*2
MUY23C200,3芯,Φ323*915,"8"" DN200",200,2kw*3
MUY24C260,4芯,Φ323*915,"8"" DN200",260,2kw*4
MUY31C120,1芯,Φ219*915,"6"" DN150",120,3kw*1
MUY32C250,2芯,Φ323*915,"8"" DN200",250,3kw*2
MUY33C380,3芯,Φ323*915,"10"" DN250",380,3kw*3
MUY34C500,4芯,Φ377*915,"12"" DN300",500,3kw*4
MUY61C230,1芯,Φ273*915,"8"" DN200",230,6kw*1
MUY62C500,2芯,Φ323*915,"12"" DN300",500,6kw*2
MUY63C750,3芯,Φ426*915,"14"" DN350",750,6kw*3
MUY64C1000,4芯,Φ426*915,"16"" DN350",1000,6kw*4


Unnamed: 0,低压紫外,中压紫外
处理水量  （T）,15T,70T
总功率  （W）,920W,2000W
每吨功率  （W/T）,60W,30W
