产品网址：http://www.tonewinner.com/goods.php?id=771
产品结构：首页->产品前线->HI-FI产品->CD·播放器->TY-30

|产品名称|产品型号|功能描述|
|----|----|----|
|CD 激光播放唱机|TY-30|采用 AD-1955 芯片，新增光纤、同轴输入，解码轻松搞定。采用定制机芯、定制发烧电容，是一款高性价比的 CD 机|




产品型号：TY-30,产品型号：TY-30.1
信噪比：,总谐波失真加噪音：≤0.002%（1kHz）
声道分离度：,频率响应：20Hz～20kHz（+0/-1dB）
串音（基波）：≥104dB（1kHz）,基准输出电平：2V±1dB(1kHz）
通道不平衡度：≤1dB(1kHz）,整机功耗：
电压电压：,支持格式：CD、HDCD、MP3、WMA
产品材质：铝合金,外观颜色：黑银
净 重：8.3kg,整机尺寸：444x106x370mm(WxHxD)
毛 重：10kg,包装尺寸：544×189×491mm宽×高×深
推荐搭配：,随机附件：遥控器、两芯电源线、电池、说明书、保修卡
适用场合：客厅、听音室、会所、清吧、咖啡厅、演示厅等高品质音乐的场地,
