产品网址：http://www.lichiwei.com/product.php?id=7
产品结构：您现在的位置：首页->产品中心->电源驱动芯片->AC/DC隔离低PF芯片

|产品名称|产品型号|功能描述|
|--|--|--|
|AC/DC 隔离低 PF 芯片|无|无|

IC型号,电路拓扑,变压器绕组,功率因数,高压功率管,高压功率管.1,功率(W),功率(W).1,封装形式
IC型号,电路拓扑,变压器绕组,功率因数,BVDSS (V),'RDS(on) (Ω),100-264Vac,175-264Vac,封装形式
LC6640,PSR DCM模式,2,0.5,,,40,48,SOP7
LC6641,PSR DCM模式,2,0.5,650,12,7,8,SOP7
LC6642,PSR DCM模式,2,0.5,650,7,10,12,SOP7
LC6643,PSR DCM模式,2,0.5,650,4,12,13,SOP7
LC6644,PSR DCM模式,2,0.5,650,3,12,15,SOP7
LC6645,PSR DCM模式,2,0.5,650,4,12,15,DIP7
LC6646,PSR DCM模式,2,0.5,650,3,18,20,DIP7
LC6647,PSR DCM模式,2,0.5,650,2.2,24,30,DIP7
LC6649,PSR DCM模式,2,0.5,,0.95,30,36,DIP7
MT6611,PSR DCM模式,3,0.5,650,,42,50,SOT23-6
MT6615,PSR DCM模式,3,0.5,650,4,18,20,DIP7
MT6616,PSR DCM模式,3,0.5,650,1.9,24,30,DIP7
MT6617,PSR DCM模式,3,0.5,650,0.95,33,36,DIP7
