产品网址：https://www.calterah.com/quality-2/?a=6726
产品结构：root->加特兰微电子-质量

|产品名称|产品型号|功能描述|
|--|--|--|
|Alps 系列雷达芯片|无|国内首个完全符合 ISO 26262 并通过第三方认证的芯片，可极大帮助客户实现 ADAS 系统的安全目标，快速通过更高级别的安全评估，加速产品导入和装车量产|




产品系列,封装集成片上天线 (AiP),料号,测试项,参考标准,结果
Alps,是,CAL77S244-IB,预处理,JESD22-A113,通过
Alps,是,CAL77S244-IB,预处理,J-STD-020,通过
Alps,是,CAL77S244-IB,偏压高加速应力测试（通电）,JESD22-A110,通过
Alps,是,CAL77S244-IB,无偏压加速应力测试（不通电）,JESD22-A118,通过
Alps,是,CAL77S244-IB,温度循环,JESD22-A104,通过
Alps,是,CAL77S244-IB,功率温度循环,JESD22-A105,通过
Alps,是,CAL77S244-IB,高温储存,JESD22-A103,通过
Alps,是,CAL77S244-IB,高温工作寿命,JESD22-A108,通过
Alps,是,CAL77S244-IB,早夭失效率,AEC-Q100-008,通过
Alps,是,CAL77S244-IB,人体放电模型,AEC-Q100-002,通过
Alps,是,CAL77S244-IB,带电器件模型,AEC-Q100-011,通过
Alps,是,CAL77S244-IB,闩锁效应,AEC-Q100-004,通过
Alps,是,CAL77S244-AB,预处理,JESD22-A113,通过
Alps,是,CAL77S244-AB,预处理,J-STD-020,通过
Alps,是,CAL77S244-AB,偏压高加速应力测试（通电）,JESD22-A110,通过
Alps,是,CAL77S244-AB,无偏压加速应力测试（不通电）,JESD22-A118,通过
Alps,是,CAL77S244-AB,温度循环,JESD22-A104,通过
Alps,是,CAL77S244-AB,功率温度循环,JESD22-A105,通过
Alps,是,CAL77S244-AB,高温储存,JESD22-A103,通过
Alps,是,CAL77S244-AB,高温工作寿命,JESD22-A108,通过
Alps,是,CAL77S244-AB,早夭失效率,AEC-Q100-008,通过
Alps,是,CAL77S244-AB,人体放电模型,AEC-Q100-002,通过
Alps,是,CAL77S244-AB,带电器件模型,AEC-Q100-011,通过
Alps,是,CAL77S244-AB,闩锁效应,AEC-Q100-004,通过
Alps,否,CAL77S244-AE,预处理,JESD22-A113,通过
Alps,否,CAL77S244-AE,预处理,J-STD-020,通过
Alps,否,CAL77S244-AE,偏压高加速应力测试（通电）,JESD22-A110,通过
Alps,否,CAL77S244-AE,无偏压加速应力测试（不通电）,JESD22-A118,通过
Alps,否,CAL77S244-AE,温度循环,JESD22-A104,通过
Alps,否,CAL77S244-AE,功率温度循环,JESD22-A105,通过
Alps,否,CAL77S244-AE,高温储存,JESD22-A103,通过
Alps,否,CAL77S244-AE,高温工作寿命,JESD22-A108,通过
Alps,否,CAL77S244-AE,早夭失效率,AEC-Q100-008,通过
Alps,否,CAL77S244-AE,人体放电模型,AEC-Q100-002,通过
Alps,否,CAL77S244-AE,带电器件模型,AEC-Q100-011,通过
Alps,否,CAL77S244-AE,闩锁效应,AEC-Q100-004,通过
Alps,否,CAL77S224-AE,预处理,JESD22-A113,通过
Alps,否,CAL77S224-AE,预处理,J-STD-020,通过
Alps,否,CAL77S224-AE,偏压高加速应力测试（通电）,JESD22-A110,通过
Alps,否,CAL77S224-AE,无偏压加速应力测试（不通电）,JESD22-A118,通过
Alps,否,CAL77S224-AE,温度循环,JESD22-A104,通过
Alps,否,CAL77S224-AE,功率温度循环,JESD22-A105,通过
Alps,否,CAL77S224-AE,高温储存,JESD22-A103,通过
Alps,否,CAL77S224-AE,高温工作寿命,JESD22-A108,通过
Alps,否,CAL77S224-AE,早夭失效率,AEC-Q100-008,通过
Alps,否,CAL77S224-AE,人体放电模型,AEC-Q100-002,通过
Alps,否,CAL77S224-AE,带电器件模型,AEC-Q100-011,通过
Alps,否,CAL77S224-AE,闩锁效应,AEC-Q100-004,通过
Rhine-Mini,是,CAL60S322-IC,预处理,JESD22-A113,通过
Rhine-Mini,是,CAL60S322-IC,预处理,J-STD-020,通过
Rhine-Mini,是,CAL60S322-IC,偏压高加速应力测试（通电）,JESD22-A110,通过
Rhine-Mini,是,CAL60S322-IC,无偏压加速应力测试（不通电）,JESD22-A118,通过
Rhine-Mini,是,CAL60S322-IC,温度循环,JESD22-A104,通过
Rhine-Mini,是,CAL60S322-IC,功率温度循环,JESD22-A105,通过
Rhine-Mini,是,CAL60S322-IC,高温储存,JESD22-A103,通过
Rhine-Mini,是,CAL60S322-IC,高温工作寿命,JESD22-A108,通过
Rhine-Mini,是,CAL60S322-IC,早夭失效率,AEC-Q100-008,通过
Rhine-Mini,是,CAL60S322-IC,人体放电模型,AEC-Q100-002,通过
Rhine-Mini,是,CAL60S322-IC,带电器件模型,AEC-Q100-011,通过
Rhine-Mini,是,CAL60S322-IC,闩锁效应,AEC-Q100-004,通过
Rhine-Mini,是,CAL60S322-ID,预处理,JESD22-A113,通过
Rhine-Mini,是,CAL60S322-ID,预处理,J-STD-020,通过
Rhine-Mini,是,CAL60S322-ID,偏压高加速应力测试（通电）,JESD22-A110,通过
Rhine-Mini,是,CAL60S322-ID,无偏压加速应力测试（不通电）,JESD22-A118,通过
Rhine-Mini,是,CAL60S322-ID,温度循环,JESD22-A104,通过
Rhine-Mini,是,CAL60S322-ID,功率温度循环,JESD22-A105,通过
Rhine-Mini,是,CAL60S322-ID,高温储存,JESD22-A103,通过
Rhine-Mini,是,CAL60S322-ID,高温工作寿命,JESD22-A108,通过
Rhine-Mini,是,CAL60S322-ID,早夭失效率,AEC-Q100-008,通过
Rhine-Mini,是,CAL60S322-ID,人体放电模型,AEC-Q100-002,通过
Rhine-Mini,是,CAL60S322-ID,带电器件模型,AEC-Q100-011,通过
Rhine-Mini,是,CAL60S322-ID,闩锁效应,AEC-Q100-004,通过
Rhine,否,CAL60S244-IE,预处理,JESD22-A113,通过
Rhine,否,CAL60S244-IE,预处理,J-STD-020,通过
Rhine,否,CAL60S244-IE,偏压高加速应力测试（通电）,JESD22-A110,通过
Rhine,否,CAL60S244-IE,无偏压加速应力测试（不通电）,JESD22-A118,通过
Rhine,否,CAL60S244-IE,温度循环,JESD22-A104,通过
Rhine,否,CAL60S244-IE,功率温度循环,JESD22-A105,通过
Rhine,否,CAL60S244-IE,高温储存,JESD22-A103,通过
Rhine,否,CAL60S244-IE,高温工作寿命,JESD22-A108,通过
Rhine,否,CAL60S244-IE,早夭失效率,AEC-Q100-008,通过
Rhine,否,CAL60S244-IE,人体放电模型,AEC-Q100-002,通过
Rhine,否,CAL60S244-IE,带电器件模型,AEC-Q100-011,通过
Rhine,否,CAL60S244-IE,闩锁效应,AEC-Q100-004,通过
Rhine,是,CAL60S244-IB,预处理,JESD22-A113,通过
Rhine,是,CAL60S244-IB,预处理,J-STD-020,通过
Rhine,是,CAL60S244-IB,偏压高加速应力测试（通电）,JESD22-A110,通过
Rhine,是,CAL60S244-IB,无偏压加速应力测试（不通电）,JESD22-A118,通过
Rhine,是,CAL60S244-IB,温度循环,JESD22-A104,通过
Rhine,是,CAL60S244-IB,功率温度循环,JESD22-A105,通过
Rhine,是,CAL60S244-IB,高温储存,JESD22-A103,通过
Rhine,是,CAL60S244-IB,高温工作寿命,JESD22-A108,通过
Rhine,是,CAL60S244-IB,早夭失效率,AEC-Q100-008,通过
Rhine,是,CAL60S244-IB,人体放电模型,AEC-Q100-002,通过
Rhine,是,CAL60S244-IB,带电器件模型,AEC-Q100-011,通过
Rhine,是,CAL60S244-IB,闩锁效应,AEC-Q100-004,通过
Yellowstone,否,CAL60A2T4R,预处理,JESD22-A113,通过
Yellowstone,否,CAL60A2T4R,预处理,J-STD-020,通过
Yellowstone,否,CAL60A2T4R,偏压高加速应力测试（通电）,JESD22-A110,通过
