产品网址：https://dct-china.cn/index/article/index/aid/1645.html
产品结构：root->电控系统产品总监-德中（天津）技术发展股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|激光精密加工设备|DirectLaser P 系列|直接激光电路结构成型设备|
|激光精密加工设备|DirectLaser S 系列|激光精密切割设备|
|激光精密加工设备|DirectLaser M 系列|陶瓷及精密金属激光加工设备|
|激光精密加工设备|DirectLaser U 系列|激光多功能微加工设备|
|激光精密加工设备|DirectLaser D 系列|激光精密钻孔设备|
|激光精密加工设备|StencilMat 系列|激光精密模板加工设备|
|激光精密加工设备|InfoLaser 系列|精密激光打标设备|
|激光精密加工设备|StencilCheck 系列|钢网检测设备|
|电路板制作成套设备|HybriDo 实验室激光机械微加工系统|无|
|电路板制作成套设备|FreeDo 激光机械测量多功能微加工系统|无|
|电路板制作成套设备|DL 系列|直接激光电路板打样设备|
|电路板制作成套设备|DM 系列|直接机械电路板打样设备|
|电路板制作成套设备|CS 系列|超声波/兆声波清洗系统|无|
|电路板制作成套设备|MP 系列|多层板压合机|无|
|电路板制作成套设备|LA 系列|贴膜机|无|
|电路板制作成套设备|TP 系列|孔金属化设备|无|
|电路板制作成套设备|BR 系列|刷板机|无|
|电路板制作成套设备|EX 系列|曝光机|无|
|电路板制作成套设备|DES 系列|显影/蚀刻/去膜设备|无|
|电路板制作成套设备|WT 系列|实验室清洗水处理设备|无|
|工业软件|CircuitCAM 7|数据处理软件|
|工业软件|DreamCreaTor 3|设备驱动软件|
|工业软件|电子设计及仿真 EDA 软件|无|
