产品网址：https://www.smartsenstech.com/products_list
产品结构：root->产品列表|思特威|专注CMOS图像传感器的创新与研发

|产品名称|产品型号|功能描述|
|----|----|----|
|SC 系列|无|无|
|AI/SL/IoT 系列|无|无|
|AT 系列|无|无|
|GS/LA 系列|无|无|
|CS/XS 系列|无|无|
|PC 系列|无|无|

Product Series,PN,选择分辨率  Resolution,选择光学尺寸  Optical Format,PixelSize,选择快门形式  Shutter Type,选择是否具有HDR  HDR,PixelArray,Max FrameRate,CRA,Interface,Package,Download,Contact Us
SmartClarity  ®  -3,New  SC521PC,5MP,"1/5""",1.12μm,Rolling,,2592Hx1944V,30fps,31.9°,MIPI,COB/RW,-,联系销售
SmartClarity  ®  -3,New  SC200PC,2MP,"1/7.3""",1.12μm,Rolling,Yes,1920Hx1080V,60fps,33.98°,MIPI,COB/RW,-,联系销售
SmartGS™-2 Plus,New  SC020HGS,0.16MP,"1/14""",2.2μm,Global,,416Hx416V,240fps,30.8°,MIPI,CSP/COB,-,联系销售
SmartClarity  ®  -3,New  SC1620CS,16MP,"1/3.09""",1.0μm,Rolling,,4672Hx3512V,60fps,34°,MIPI,COB/RW,-,联系销售
SmartClarity  ®  -3,New  SC535loT,5MP,1/2.7'',2μm,Rolling,Yes,2592Hx1944V,60fps,15°,MIPI,CSP,-,联系销售
SmartClarity  ®  -3,New  SC5000CS,50MP,1/2.5'',0.702μm,Rolling,Yes,8224Hx6176V,15fps,35.7°,MIPI,COB/RW,-,联系销售
SmartGS™-2 Plus,New  SC038HGS,0.3MP,1/7.5'',3.0μm,Global,,640Hx480V,240fps,29.01°,MIPI/LVDS/DVP,CSP/COB,-,联系销售
SmartClarity  ®  -2,New  SC580XS,50MP,"1/1.28""",1.22μm,Rolling,Yes,8192Hx6144V,30fps,36.9°,MIPI,COB/RW,-,联系销售
SmartClarity  ®  -3,New  SC235HAI,2MP,"1/2.9""",2.8μm,Rolling,Yes,1928Hx1088V,60fps,15°,MIPI DVP,CSP,,联系销售
SmartClarity  ®  -3,New  SC835HAI,8MP,"1/2.7""",1.5μm,Rolling,Yes,3848Hx2168V,40fps,15°,MIPI,CSP,,联系销售
Linear,SC430LA,4K,4K Linear,7.0μm,Rolling,,4096Hx3V,200kHZ@1-line  133kHZ@2-line  100kHZ@3-line,,LVDS,CLCC,,联系销售
Linear,SC830LA,8K,8K Linear,7.0μm,Rolling,,8192Hx4V,200kHZ,,LVDS,PCBA,-,联系销售
Linear,SC1630LA,16K,16K Linear,3.5μm,Rolling,,16384Hx2V,100kHZ,,LVDS,PCBA,-,联系销售
DSI-2,SC080CS,QVGA,"1/20""",2.24μm,Rolling,,248Hx328V,30fps,16.68°,SPI,CSP9,,联系销售
SmartGS™,SC035HGS,0.3MP,"1/6""",3.744μm,Global,,640Hx480V,180fps,33°,MIPI/LVDS/DVP,CSP/COB,-,联系销售
DSI-2,SC031AP,0.3MP,"1/6.5""",3.4μm,Rolling,,644Hx484V,60fps,25°,DVP,CSP35,,联系销售
DSI-2,SC1336,1MP,"1/3""",3.75μm,Rolling,,1284Hx724V,60fps,15°,MIPI,CSP35,,联系销售
DSI-2,SC101AP,1MP,"1/4.2""",2.9μm,Rolling,,1288Hx728V,30fps,15°,DVP,CSP35,,联系销售
DSI-2,SC1346,1MP,"1/4.6""",2.65μm,Rolling,,1288Hx728V,60fps,15°,MIPI DVP,CSP29,,联系销售
SmartPixel™,SC1330T,1.23MP,"1/2.8""",4.0μm,Rolling,Yes,1288Hx968V,60fps,15°,MIPI DVP LVDS,CSP41,,联系销售
SmartClarity  ®  -2,SC130AT,1.3MP,"1/3""",3.75μm,Rolling,Yes,1304Hx984V,30fps,0°,MIPI DVP LVDS,CSP,-,联系销售
SmartGS™-2 Plus,SC135HGS,1.3MP,"1/3.2""",3.45μm,Global,Yes,1280Hx1024V,160fps,0°,MIPI DVP LVDS,CSP/CLGA,,联系销售
SmartClarity  ®  -2,SC100AT,1.3MP,"1/3.7""",3.0µm,Rolling,Yes,1288Hx968V,30fps,15°,MIPI DVP LVDS,CSP/IBGA/COB/RW,,联系销售
SmartClarity  ®  -2,SC120AT,1.3MP,"1/3.7""",3.0µm,Rolling,Yes,1288Hx968V,30fps,15°,MIPI DVP LVDS,CSP/IBGA/COB/RW,,联系销售
SmartGS™,SC130GS,1.3MP,"1/2.7""",4.0μm,Global,Yes,1280Hx1024V,240fps,0°,MIPI DVP LVDS,CLCC,,联系销售
SmartGS™,SC132GS,1.3MP,"1/4""",2.7μm,Global,Yes,1080Hx1280V,120fps,25°,MIPI LVDS,COB/Fan-out,,联系销售
DSI-1,SC1330AT,1.3MP,"1/2.8""",4.0μm,Rolling,Yes,1288Hx968V,60fps,15°,MIPI DVP LVDS,CSP41,,联系销售
SmartGS™-2 Plus,SC133HGS,1.3MP,"1/3.7""",3.0μm,Global,Yes,1288Hx968V,120fps,23°,MIPI DVP LVDS,CSP42,,联系销售
SmartClarity  ®  -3,SC202CS,2MP,"1/5.1""",1.75μm,Rolling,,1608Hx1208V,30fps,30.76°,MIPI,CSP/COB/RW,-,联系销售
SmartClarity  ®  -3,SC231HAI,2MP,"1/2.9""",2.8μm,Rolling,Yes,1928Hx1088V,60fps,15°,MIPI DVP,CSP,,联系销售
SmartGS™-2 Plus,SC235HGS,2MP,"1/2.6""",3.45μm,Global,Yes,1600Hx1200V,130fps,0°,MIPI DVP LVDS,CSP/CLGA,,联系销售
SmartClarity  ®,SC200AI,2MP,"1/2.8""",2.9μm,Rolling,Yes,1928Hx1088V,60fps,15°,DVP MIPI,CSP41,,联系销售
DSI-2,SC201CS,2MP,"1/5.1""",1.75μm,Rolling,,1608Hx1208V,30fps,31.5°,MIPI,CSP/COB/RW,,联系销售
SmartClarity  ®,SC2210,2MP,"1/1.8""",4.0μm,Rolling,Yes,1920Hx1080V,90fps,9°,MIPI DVP LVDS,CSP70,,联系销售
DSI-2,SC223A,2MP,"1/2.8""",2.9µm,Rolling,,1928Hx1088V,30fps,15°,DVP MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC230AI,2MP,"1/2.8""",2.9µm,Rolling,Yes,1928Hx1088V,60fps,15°,DVP MIPI,CSP41,,联系销售
SmartClarity  ®,SC2310H,2MP,"1/2.7""",3.0μm,Rolling,Yes,1932Hx1092V,60fps,12°,DVP MIPI,CSP41,,联系销售
DSI-2,SC2331,2MP,"1/3.2""",2.45μm,Rolling,,1928Hx1088V,30fps,15°,MIPI DVP,CSP35,,联系销售
SmartClarity  ®  -2,SC2331AT,2MP,"1/2.8""",2.9μm,Rolling,Yes,1920Hx1080V,60fps,15°,MIPI DVP,CSP41,,联系销售
DSI-2,SC2336,2MP,"1/3""",2.7μm,Rolling,,1928Hx1088V,30fps,12°,DVP MIPI,CSP35,,联系销售
DSI-2,SC2336P,2MP,"1/3""",2.7μm,Rolling,,1928Hx1088V,30fps,12°,MIPI DVP,CSP35,,联系销售
DSI-2,SC233A,2MP,"1/2.8""",2.9µm,Rolling,Yes,1928Hx1088V,60fps,15°,DVP MIPI,CSP41,,联系销售
SmartClarity  ®,SC2110,2.3MP,"1.69""",12.0μm,Rolling,Yes,1936Hx1216V,120fps,0°,MIPI DVP LVDS,CLCC,,联系销售
SmartGS™-2,SC233AT,2.3MP,"1/2.6""",3.0μm,Global,Yes,1928Hx1208V,60fps,15°,MIPI DVP LVDS,CSP48,-,联系销售
SmartGS™-2 Plus,SC233HGS,2.3MP,1/2.6”,3.0μm,Global,Yes,1928Hx1208V,120fps,15°,MIPI DVP LVDS,CSP48,,联系销售
SmartClarity  ®  -2,SC220AT,2.5MP,"1/2.57""",3.0μm,Rolling,Yes,1940H×1300V,30fps,15°,MIPI DVP LVDS,CSP/iBGA,-,联系销售
DSI-2,SC3338P,3MP,"1/2.8""",2.45μm,Rolling,,2312Hx1304V,45fps,15°,MIPI,CSP41,-,联系销售
DSI-2,SC301IoT,3MP,"1/2.8""",2.5μm,Rolling,Yes,2052Hx1540V,60fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC320AT,3MP,"1/2.44""",3.0μm,Rolling,Yes,1940H×1556V,30fps,19°,MIPI DVP LVDS,CSP/iBGA,,联系销售
DSI-2,SC3332,3MP,"1/3""",2.2μm,Rolling,,2312Hx1304V,30fps,15°,MIPI,CSP35,,联系销售
DSI-2,SC3336,3MP,"1/2.8""",2.45μm,Rolling,,2312Hx1304V,30fps,15°,DVP MIPI,CSP35,,联系销售
DSI-2,SC3336P,3MP,"1/2.8""",2.45μm,Rolling,,2312H×1304V,30fps,15°,MIPI,CSP35,-,联系销售
SmartGS™-2,SC350HGS,3MP,2/3″,4.2μm,Global,,1768Hx1768V,75fps,9°,MIPI LVDS,CLGA,,联系销售
SmartClarity  ®,SC410IoT,4MP,"1/3""",2.0μm,Rolling,Yes,2568Hx1448V,60fps,15°,MIPI,CSP35,-,联系销售
SmartClarity  ®  -3,SC438HAI,4MP,"1/2.9""",2.0μm,Rolling,Yes,2696Hx1528V,60fps,13.96°,MIPI,CSP41,,联系销售
SmartClarity  ®  -3,SC431HAI,4MP,"1/3""",2.0μm,Rolling,Yes,2568Hx1448V,60fps,15°,MIPI,CSP,,联系销售
SmartClarity  ®  -2,SC400AI,4MP,"1/3""",2.0μm,Rolling,Yes,2568Hx1448V,60fps,15°,MIPI,CSP35,,联系销售
SmartClarity  ®,SC401AI,4MP,"1/3""",2.0μm,Rolling,,2568Hx1448V,30fps,15°,MIPI,CSP35,,联系销售
SmartGS™-2,SC410GS,4MP,1/1.3″,4.2μm,Global,Yes,1752Hx2336V,50fps,9°,MIPI LVDS,CLGA,,联系销售
SmartClarity  ®,SC4210H,4MP,1/1.8″,3.0μm,Rolling,Yes,2576Hx1452V,60fps,9°,MIPI DVP LVDS,CSP70,,联系销售
SmartClarity  ®  -2,SC430AI,4MP,"1/2.9""",2.0µm,Rolling,Yes,2696Hx1528V,60fps,15°,MIPI,CSP41,,联系销售
SmartPixel™-2,SC4335,4MP,"1/2.7""",2.25μm,Rolling,,2572Hx1452V,30fps,15°,DVP MIPI,CSP41,,联系销售
DSI-2,SC4336,4MP,"1/3.06""",2.0μm,Rolling,,2568Hx1448V,30fps,15°,MIPI,CSP35,,联系销售
DSI-2,SC4336P,4MP,"1/3""",2.0μm,Rolling,,2568Hx1448V,30fps,15°,MIPI,CSP35,,联系销售
SmartClarity  ®,SC450AI,4MP,1/1.8″,2.9µm,Rolling,Yes,2688Hx1520V,60fps,9°,MIPI DVP LVDS,CSP70,,联系销售
SmartClarity  ®  -2,SC531AI,5MP,"1/2.7""",2.0μm,Rolling,,2884Hx1624V,30fps,15°,MIPI,CSP41,-,联系销售
DSI-2,SC5338P,5MP,"1/2.7""",2.0μm,Rolling,Yes,2888Hx1628V,30fps,15°,MIPI,CSP41,-,联系销售
SmartGS™-2 Plus,SC535HGS,5MP,"2/3""",3.45μm,Global,Yes,2448Hx2048V,80fps,0°,MIPI LVDS,CLGA,-,联系销售
SmartGS™-2 Plus,SC533AT,5MP,"1/2.53""",2.2μm,Global,,2592Hx1944V,60fps,15°,MIPI DVP LVDS,CSP,-,联系销售
DSI-2,SC5336P,5MP,"1/2.7""",2.0μm,Rolling,,2888Hx1628V,30fps,15°,MIPI,CSP35,,联系销售
SmartClarity  ®,SC500AI,5MP,"1/2.7""",2.0μm,Rolling,Yes,2888Hx1628V,60fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®,SC501AI,5MP,"1/2.7""",2.0µm,Rolling,,2888Hx1628V,30fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC501CS,5MP,"1/5""",1.12μm,Rolling,,2600Hx1952V,30fps,31.87°,MIPI,COB/RW,,联系销售
SmartClarity  ®  -2,SC520CS,5MP,"1/5""",1.12μm,Rolling,,2600Hx1960V,30fps,31.9°,MIPI,CSP/COB/RW,,联系销售
SmartClarity  ®,SC5238,5MP,"1/2.7""",2.0μm,Rolling,Yes,2608Hx1960V,20fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC530AI,5MP,"1/2.7""",2.0µm,Rolling,Yes,2884Hx1624V,60fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC630AI,6MP,"1/2.5""",2.0μm,Rolling,Yes,2564Hx2564V,60fps,15°,MIPI,CSP55,,联系销售
SmartGS™-2,SC650HGS,6MP,1″,4.0μm,Global,,2896Hx2176V,65fps,9°,MIPI LVDS,CLGA,,联系销售
SmartClarity  ®  -3,SC831HAI,8MP,"1/2.7""",1.5μm,Rolling,Yes,3848Hx2168V,40fps,15°,MIPI,CSP41,-,联系销售
SmartClarity  ®  -2,SC820CS,8MP,"1/4""",1.12μm,Rolling,,3280Hx2464V,30fps,32.55°,MIPI,COB/RW,,联系销售
SmartClarity  ®,SC8238,8MP,1/2.7″,1.5μm,Rolling,Yes,3872Hx2180V,30fps,15°,MIPI LVDS,CSP41,,联系销售
SmartClarity  ®  -2,SC830AI,8MP,"1/2.7""",1.5μm,Rolling,Yes,3840Hx2160V,30fps,15°,MIPI,CSP41,,联系销售
SmartClarity  ®  -2,SC850SL,8MP,1/1.8″,2.0μm,Rolling,Yes,3840Hx2160V,60fps,9°,MIPI,CSP67,,联系销售
SmartClarity  ®  -2,SC880SL,8MP,"1/1.2""",2.988μm,Rolling,Yes,3856Hx2176V,60fps,9°,MIPI LVDS,PLCC,,联系销售
SmartClarity  ®  -2,SC850AT,8.3MP,"1/1.73""",2.1μm,Rolling,Yes,3856H×2176V,30fps,18°,MIPI,iBGA,-,联系销售
SmartGS™-2,SC910GS,9MP,"1.1""",4.0µm,Global,Yes,3856Hx2368V,50fps,9°,MIPI LVDS,CLGA,,联系销售
SmartGS™-2,SC950HGS,9MP,1.1″,4.0μm,Global,,3856Hx2368V,65fps,9°,MIPI LVDS,CLGA,,联系销售
SmartClarity  ®  -3,SC1320CS,13MP,"1/3.06""",1.12μm,Rolling,,4224Hx3134V,30fps,33.69°,MIPI,COB/RW,,联系销售
SmartClarity  ®  -2,SC1600CS,16MP,"1/3.06""",1.0μm,Rolling,,4656Hx3096V,60fps,33.98°,MIPI,COB/RW,,联系销售
