产品网址：https://www.embedway.com.cn/product/detail/495
产品结构：智能系统平台->智能计算->主板->Mini-ITX主板

|产品名称|产品型号|功能描述|
|----|----|----|
|MIT1200 主板|MIT1200|基于飞腾 E2000D 设计开发的 Mini-ITX 主板，采用标准 Mini-ITX 架构，通用性强，可直接用于标准 Mini-ITX 规格机箱，具备丰富接口和较好可扩展性，适用于多种应用场景，可作为信息处理和控制平台，构建安全可靠的信息系统|

形态,Mini-ITX标准主板
处理器,飞腾E2000D处理器(2个Core)
内存,板贴4GB内存  工作速率2400Mbps
扩展槽,1路PCIex1扩展槽  1路miniPCIex1扩展槽
存储,1路mSATA或者SATA接口  1路SD卡接口
网络,2路10/100/1000Base-T千兆以太网接口（RJ45）面板
USB,2路USB 3.0面板  2路USB 2.0面板  1路USB OTG
显示输出,1路DP接口面板
串口,2路RS232串口面板  4路RS232串口板载  2路RS232串口或者CAN接口板载
GPIO,GPIO若干
电源,12V输入  约11W
尺寸,170mm x 170mm
重量,约0.25KG
环境,工作环境温度：  商业级：0 ~ 45ºC  工业级：-40 ~ 65ºC  存储环境温度：-55 ~ 85ºC
