产品网址：http://www.i-core.cn/en/newsshow/.html
产品结构：root->--Wuxii-CoreElectronicsCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|LED 显示驱动器|无|无|
|LCD 显示驱动器|无|无|
|OLED 显示|无|无|
|VFD 显示|无|无|
|8 位 Flash MCU|无|无|
|8 位 Flash RISC MCU|无|无|
|9P 系列 8 位 RISC MCU|无|无|
|8 位 MTP RISC MCU|无|无|
|8 位 OTP RISC MCU|无|无|
|32 位 RISC-V MCU|无|无|
|32 位语音 IC|无|无|
|HC HCT|无|无|
|AHC AHCT|无|无|
|LV|无|无|
|LVC|无|无|
|LVT|无|无|
|AVC|无|无|
|AUP|无|无|
|4000|无|无|
|模拟复用器/解复用器|无|无|
|电平转换|无|无|
|通用运算放大器|无|无|
|高速运算放大器|无|无|
|精密运算放大器|无|无|
|电流检测运算放大器|无|无|
|音频运算放大器|无|无|
|比较器|无|无|
|线性稳压器|无|无|
|电源监控器|无|无|
|电压基准|无|无|
|电池管理|无|无|
|DC-DC|无|无|
|PWM 控制器|无|无|
|漏电保护|无|无|
|H 桥驱动器|无|无|
|步进电机驱动器|无|无|
|MOSFET 驱动器|无|无|
|栅极驱动器|无|无|
|达林顿阵列|无|无|
|音质和音效处理|无|无|
|音频支持|无|无|
|学习型遥控器|无|无|
|无线遥控器|无|无|
|红外遥控器|无|无|
|总线接口|无|无|
|电话|无|无|
|内存|无|无|
|电容式触摸芯片|无|无|
|实时时钟电路|无|无|
|热释电红外|无|无|
|测量|无|无|
|其他|无|无|
