产品网址：https://www.hikmicrotech.com/en/outdoor-products/thunder2-0-series-thermal-scope
产品结构：UD32858B->THUNDER2.0->QSG->multilanguage->20230406.pdf

|产品名称|产品型号|功能描述|
|--|--|--|
|THUNDER 2.0 热成像瞄准镜|TE19 2.0|采用 256@12µm 传感器和 19mm 焦距，大视场角，适合在树林等中短距离射击|
|THUNDER 2.0 热成像瞄准镜|TQ50 2.0|640 探测器，12μm 像素间距，50mm 焦距，热灵敏度<20mK，大倍率，长探测距离|
|THUNDER 2.0 热成像瞄准镜|TQ35 2.0|640 探测器和 35mm 镜头，实现 22m 宽视场角，适合在树林中狩猎|
|THUNDER 2.0 热成像瞄准镜|TH35P 2.0|配备 35mm 镜头和 NETD<20mK，是野外和森林夜间狩猎的完美伴侣|
|THUNDER 2.0 热成像瞄准镜|TH25P 2.0|高灵敏度的 NETD<20mK，大视场角，384 探测器，适合森林狩猎|
|THUNDER 2.0 热成像瞄准镜|TE25 2.0|大倍率，25mm 镜头，适合在开阔地区轻松识别细节|











