产品网址：https://www.j2semi.com/productinfo/1758364.html
产品结构：root->模拟开关和多路复用器-杰平方半导体(上海)有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|模拟开关和多路复用器|无|无|

1. 器件型号,2.配置,3.输出通道个数,4.供电电压,5.AEC-Q100规格,6.导通电阻  （典型值）（Ω）,7.ESD等级,8.导通状态漏电流  （mA）,9.操作温度范围  （℃）,10.封装类型,11.封装大小  （mm²）
JA4851A,8:01,1,2V-6V,符合,150,− 2000伏特 人体模型（A114-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4851A,8:01,1,2V-6V,符合,150,− 200伏特 机器模型（A115-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4851A,8:01,1,2V-6V,符合,150,− 1000伏特 组件充电模型（C101）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4851,8:01,1,2V-6V,-,150,− 2000伏特 人体模型（A114-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4851,8:01,1,2V-6V,-,150,− 200伏特 机器模型（A115-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4851,8:01,1,2V-6V,-,150,− 1000伏特 组件充电模型（C101）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852A,4:01,2,2V-6V,符合,150,− 2000伏特 人体模型（A114-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852A,4:01,2,2V-6V,符合,150,− 200伏特 机器模型（A115-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852A,4:01,2,2V-6V,符合,150,− 1000伏特 组件充电模型（C101）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852,4:01,2,2V-6V,-,150,− 2000伏特 人体模型（A114-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852,4:01,2,2V-6V,-,150,− 200伏特 机器模型（A115-A）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
JA4852,4:01,2,2V-6V,-,150,− 1000伏特 组件充电模型（C101）,1,-40到125,TSSOP16,22 mm²: 4.4 x 5
