产品网址：http://hi-sensor.com/cpjs
产品结构：root->产品介绍丨森索科技丨温湿度传感器变送器丨智慧农业丨气体传感器丨粉尘传感器丨土壤墒情丨气象监测

|产品名称|产品型号|功能描述|
|--|--|--|
|尘埃粒子传感器|无|使用激光光源，能精准测量空气中单位体积内不同粒径颗粒物个数，通过数学算法及科学标定输出颗粒物质量浓度|
|尘埃粒子计数器|无|可监测并显示 0.3 至 10μm 的粒径数据和浓度数据，对标 TSI9306 仪器粒径检测，广泛应用于过滤器效率测试、室内空气质量、粉尘监测、洁净室监测等多应用场景|
|在线尘埃粒子计数器|无|基于光散射原理，使用激光光源，能精准测量空气中单位体积内不同粒径颗粒物个数，通过数学算法及科学标定输出颗粒物质量浓度|
|手持空气品质检测仪|无|采用国际最先进的传感器设计，可同时对颗粒物（PM）、温湿度、甲醛（可选）进行测量，具有使用方便、快速测量、测量精度高等优点，可用于室内空气检测、净化设备筛选、空气中浓度采样等|
|集成空气品质传感器|无|主要功能为粉尘、甲醛、温湿度、二氧化碳检测，用于通风控制系统、净化机、智能家居等|
|CO2 传感器|无|可广泛应用于暖通制冷与室内空气质量监控|
|甲醛传感器|无|甲醛传感器模块，采用电化学原理和先进的微检测技术，直接将环境中的甲醛含量转换成浓度值，标准化数字输出|
|红外 PM2.5 传感器|无|基于光散射原理，使用红外光源，能测量空气中单位体积内分布的粉尘浓度，并通过数学算法及科学标定输出 PM2.5 浓度|
|激光 PM2.5 传感器|无|基于光散射原理，使用激光光源，能精准测量空气中单位体积内不同粒径颗粒物个数，通过数学算法及科学标定输出颗粒物质量浓度|
|温湿度变送器|485 型、模拟量型、以太网型、WIFI 型、GPRS|4G|NBIOT、433M 无线、LORA 无线|无|
|单湿度变送器|485 型、模拟量型、WIFI 型、GPRS|4G|NBIOT、433M 无线、以太网型|无|
|土壤变送器|无|无|
|光照度变送器|无|无|
|水浸|断电|烟感|无|无|
|雨量|蒸发量|电子水尺|无|无|
|风速|风向|倾角|无|无|
|噪声|空气质量|无|无|
|工业级粉尘传感器|无|无|
|汽车级粉尘传感器|无|无|
|尘埃粒子计数器|无|无|
|检测仪|无|无|
|二氧化碳变送器|无|无|
|CO2 传感器|无|无|
|集成空气品质传感器|无|无|
|臭氧变送器|无|无|
|二氧化硫变送器|无|无|
|氧气变送器|无|无|
|甲醛变送器|无|无|
|负氧离子检测仪|无|无|
|磷化氢变送器|无|无|
|TVOC 变送器|无|无|
|氨气变送器|无|无|
|硫化氢/六氟化硫变送器|无|无|
|一氧化碳变送器|无|无|
|二氧化氮变送器|无|无|
|氢气变送器|无|无|
|甲烷变送器|无|无|
|复合式多气体|无|无|
|其他|无|无|
|气体多合一|无|无|
|甲醛传感器|无|无|
|USB 温湿度记录仪|无|无|
|保温箱|无|无|
|水肥一体机|无|无|
|虫情监测仪|无|无|
|气象站|无|无|
|土壤墒情|无|无|
|水产|水质监测|无|无|
|LORA 监控系统|无|无|
|油烟检测系统|无|无|
|扬尘监测站|无|无|
