产品网址：http://www.bydmicro.com/cn/EO-semiconductor.html
产品结构：root->产品_光电半导体_比亚迪半导体

|产品名称|产品型号|功能描述|
|--|--|--|
|远近红外夜视系统|无|1. 行人和车辆检测与识别；2. 透黑夜，夜间清晰成像、防炫光干扰、透雾霾；3. 会车强光抑制；4. 自动曝光调节|
|车载 PM2.5 测速仪|无|采用激光检测原理，PM2.5 检测，检测车内 PM2.5 数值|
|路面预瞄系统|无|在线自标定、图像异常检测、时间同步（PPS/PTP）、OTA、路面高程检测|
|流媒体后视镜|无|1. 车规级 720p 微光 sensor；2. 宽动态处理，强光抑制；3. Lvds 传输，延时小于 50ms|
|AR-HUD PGU 光机|无|抬头数字显示仪 HUD（heads up display）可以把重要的信息，投影在前挡玻璃上，使驾驶员不必低头，就能看清重要信息。AR-HUD 是传统 HUD 的拓展，实现多元化信息的增强显示。其中，PGU 光机是 HUD 最核心部件|
|MEMS 传感器|无|硅麦、气流传感器|
|汽车香氛控制模块|JG-HC-XF、JG-JKX1-XF|无|
|高清全景影像模组|高清全景影像模组-100W、高清全景影像模组-200W/300W 功能安全|高清全景影像模组安装于汽车前后左右四个方位，实时获取汽车周边的视频图像。通过软件算法将四个影像模组的图像拼接整合成一张全景图像，并传输到汽车显示屏进行显示，辅助驾驶员泊车|
|ADAS 模组|ADAS 模组-200W/300W 侧视和后视、ADAS 模组-800W 前视双目|ADAS 影像模组（200W/300W）安装于汽车侧前、侧后以及后视五个方位，实时获取汽车周边的视频图像。将图像信息传输到主控端，辅助驾驶和停车|
|流媒体后视模组|无|流媒体后视镜安装于车辆尾部适当位置，根据实车情况调整角度以获取最优监测范围，得到车辆后方的视野信息，提高行车安全性|
|扫描仪/扫描模组|CSM3112|扫描模组通过曝光辅助照明和激光十字瞄准等技术，实现又快又准扫描|
|车内视频模组|无|此模组放置在车内前室内灯处，面向乘客，具有一定的拍摄范围，清晰地拍摄车内影像，以应用于车内视频监控、视频通话、拍照等功能。能够被第三方 APP 进行调用（如微信、美图等）|
|行车记录仪模组|无|后视镜自动防眩光、高清视频、夜视图像增强、一键存档/拍照、碰撞锁档/存储扩展|
|车载影像集成系统|无|车载影像模组系统是指利用车内外的模组图像数据，通过集成控制器处理，实现驾驶员监测、身份认证、手势识别、遗忘物品监测、后排乘员监测、行车记录、360 全景影像及车辆 24 小时监控多种功能|
|DMS 红外影像模组|车载影像集成系统-100W IR、车载影像集成系统-RGB+IR、车载影像集成系统-200W 功能安全|1. 采用红外增强型 SENSOR，分辨率 720p，成像质量高；2. 红外 LED 补光；3. 红外模组专用镜头设计（尺寸小，红外透过率高，角度合适，畸变小）；4. 小尺寸设计，便于结构安装。产品应用：FACE ID, DMS, 手势识别，情绪识别|
|MPC 影像模组|无|MPC 影像模组是 MPC 车载辅助驾驶智系统的重要组成部分，MPC 车载辅助驾驶智系统利用 MPC 影像模组观察前方道路信息，通过集成控制器处理，实现启停自适应巡航系统（ACC-S&G）、车道保持辅助系统、智能领航系统、预测性紧急碰撞系统 1.0（包含前碰撞预警 FCW 与自动紧急制动系统 AEB）、交通标志识别系统（TSR）、交通灯识别（TLA）、智能远近光灯 （HMA）等功能|
|LED 光源|2016 系列、大灯系列、3528 系列、2835 系列、0603 系列|前装市场累约装车超过 200 万辆，失效率<10ppm。2016 系列产品荣获 2018 年高工 LED 金球奖和广东省高新产品认定；汽车前大灯 LED 光源产品荣获 2019 年高工 LED 金球奖和广东省高新产品认定|
|LED 车载应用|Touchkey 空调面板、摩托车大灯驱动、车载屏|LED 行业首款摩托车前大灯、首款车载前装显示屏 、首款户外 P2.0 车载显示屏以及首款触控空调面板|
|LED 智能显示|小间距魅影系列、室内炫彩系列、室内弧光系列、户外浮光系列、广告机|LED 显示屏产品种类齐全，品质达到业界顶级水平。在全国设有 9 大服务基地，一线城市 24 小时之内完成维修服务|
|LED 智慧照明|EL-27 路灯、EL-25 路灯、隧道灯、灯管、LED 吸顶灯、筒灯、工矿灯、射灯|比亚迪照明作为最早提供照明改造服务的国内品牌，产品种类齐全拥有商超、酒店、工厂等照明项目的经验|
|结构件与散热器|无|无|
|光学透镜|无|无|
|IGBT 框体|车规级 IGBT 框体、工业级 IGBT 框体|无|
|IGBT&碳化硅模块铜基板|无|无|
|传感器框体|无|无|

品名,颜色,应用,光电参数,光电参数.1,光电参数.2,光电参数.3,光电参数.4,光电参数.5,光电参数.6,下载
品名,颜色,应用,IFMAX(mA),IFTest(mA),VF(V),IV(lm),光色(x/y) / 波长(nm),Tj(℃),Pd(W),下载
品名,颜色,应用,IFMAX(mA),IFTest(mA),VF(V),IV(lm),光色(x/y) / 波长(nm),Tj(℃),Pd(W),下载
2016WY-DY15-590,黄光,转向灯,1200,1000,3.3,180,0.57/0.42,150,3.6,
2016WD-DY05-57,白光,昼行灯/阅读灯,250,150,3.0,50,0.323/0.323,150,0.5,
2016BC-DMC,蓝光,氛围灯,500,350,3.1,16,455,150,1.5,
2016WY-DM05-590,黄光,转向灯,250,150,3.0,30,0.57/0.42,150,0.5,
2016WD-DY10-57,白光,昼行灯/阅读灯,500,350,3.1,110,0.323/0.323,150,1.5,
2016WY-DMC,黄光,转向灯,350,350,3.1,65,0.57/0.42,150,1,
2016ZR-DMC,红光,制动灯,500,350,2.0,50,620,150,1.5,
2016WD-DY15-60,白光,昼行灯/大灯,1200,1000,3.3,320,0.325/0.335,150,3.6,


品名,颜色,应用,光电参数,光电参数.1,光电参数.2,光电参数.3,光电参数.4,光电参数.5,光电参数.6,下载
品名,颜色,应用,IFMAX(mA),IFTest(mA),VF(V),IV(lm),光色(x/y),Tj(℃),Pd(W),下载
品名,颜色,应用,IFMAX(mA),IFTest(mA),VF(V),IV(lm),光色(x/y),Tj(℃),Pd(W),下载
BOH-NWS3-60,白光,远近光,1500,1000,9.6,990,0.325/0.335,150,10.5,
BOH-NWS4-60,白光,远近光,1200,1000,12.8,1320,0.325/0.335,150,14.0,
BOH-NWS2-60,白光,远近光,1500,1000,6.4,660,0.325/0.335,150,7.0,


品名,颜色,应用,光电参数,光电参数.1,光电参数.2,光电参数.3,光电参数.4,光电参数.5,光电参数.6,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(mcd),光色(x/y) / 波长(nm）,Tj(℃）,Pd(W）,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(mcd),光色(x/y) / 波长(nm）,Tj(℃）,Pd(W）,下载
3528BD,冰岛蓝,氛围灯/背光,40,20,2.9,1500,0.19/0.28,125,0.2,
3528-2RCQ,红光,位置灯/制动灯,50,20,2.0,1100,620,125,0.1,
3528WDZ,白光,位置灯/室内灯,40,20,2.9,1500,0.31/0.31,125,0.2,


品名,颜色,应用,光电参数,光电参数.1,光电参数.2,光电参数.3,光电参数.4,光电参数.5,光电参数.6,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(lm）,光色(x/y) / 波长(nm）,Tj(℃）,Pd(W）,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(lm）,光色(x/y) / 波长(nm）,Tj(℃）,Pd(W）,下载
2835-2WYDZ,黄光(PC Amber),转向灯,240,150,3.1,42,0.57/0.42,125,0.5,
2835-2WDZ,白光,倒车灯,240,150,3.1,65,0.31/0.32,125,0.5,
2835-2YC,黄光,转向灯,200,150,2.2,20,590,125,0.5,
2835-2RC,红光,制动灯,200,150,2.1,26,617,125,0.5,
2835YC-E14,黄光,转向灯,60,60,2.3,12,590,125,0.2,
2835RC-H14,红光,位置灯/制动灯,60,60,2.4,12,617,125,0.2,
2835WDZ,白光,位置灯/室内灯,40,20,2.9,6.5,0.31/0.31,125,0.2,


品名,颜色,应用,光电参数,光电参数.1,光电参数.2,光电参数.3,光电参数.4,光电参数.5,光电参数.6,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(mcd),光色 (x/y) / 波长 (nm）,Tj(℃）,Pd(mW）,下载
品名,颜色,应用,IFMAX(mA）,IFTest(mA）,VF(V),IV(mcd),光色 (x/y) / 波长 (nm）,Tj(℃）,Pd(mW）,下载
0603BC,蓝光,汽车背光,20,5,2.9,32,468,100,60,
0603BDW,冰岛蓝,汽车背光,20,5,2.9,440,0.19/0.27,125,70,
0603GC,绿光,汽车背光,20,5,2.8,90,522,100,60,
0603RC,红光,汽车背光,20,20,2.0,75,623,100,40,
0603YC,黄光,汽车背光,20,20,2.0,75,588,100,45,
0603TC,黄绿光,汽车背光,20,20,2.0,75,568,100,45,
0603WDW,白光,汽车背光,20,5,2.9,480,0.30/0.30,125,70,


Touchkey空调面板,下载
Touchkey空调面板,下载
Touchkey空调面板,下载
Touchkey空调面板,


摩托车大灯驱动,下载
摩托车大灯驱动,下载
摩托车大灯驱动,下载
BYD-G30W、BYD-Z18W 、BYD-D7W,


车载屏,下载
车载屏,下载
车载屏,下载
车顶屏CDP002-P2.5,
透明屏TMP001-P2.6×5.3,


EL-27路灯,下载
EL-27路灯,下载
EL-27路灯,下载
EL-27CE050,
EL-27C9050,
EL-27CC050,
EL-27C6050,


EL-25路灯,下载
EL-25路灯,下载
EL-25路灯,下载
EL-25AK05Z,
EL-25AC05Z,
EL-25AG05Z,
EL-25A605Z,


隧道灯,下载
隧道灯,下载
隧道灯,下载
BOL-TLWA100-A00,
TL-16A5550,


灯管,下载
灯管,下载
灯管,下载
TB-T8CS160L1,
TA-08AD-00A,


LED吸顶灯,下载
LED吸顶灯,下载
LED吸顶灯,下载
CL-20C,
CL-20E,
CL-60E,
CL-39L2000,


筒灯,下载
筒灯,下载
筒灯,下载
DN-24L5000、DN-24L5000-1,


工矿灯,下载
工矿灯,下载
工矿灯,下载
ML-31AE051,
