产品网址：http://www.bydmicro.com/cn/semiconductor.html
产品结构：root->产品_功率半导体_比亚迪半导体

|产品名称|产品型号|功能描述|
|--|--|--|
|IGBT|无|用于电力设备的电能变换和控制电路方面大功率的电子器件，广泛应用于各种电子设备|
|IGBT 模块|无|比亚迪可提供包含裸芯片、单管、功率模块等不同形式的 IGBT 产品，产品覆盖 750V、1200V 电压平台，广泛应用于工控领域、变频家电领域、新能源汽车领域等|
|IGBT 单管|无|比亚迪可提供包含裸芯片、单管、功率模块等不同形式的 IGBT 产品，产品覆盖 750V、1200V 电压平台，广泛应用于工控领域、变频家电领域、新能源汽车领域等|
|IGBT 芯片|无|比亚迪可提供包含裸芯片、单管、功率模块等不同形式的 IGBT 产品，产品覆盖 750V、1200V 电压平台，广泛应用于工控领域、变频家电领域、新能源汽车领域等|
|Diode|无|比亚迪可提供包含裸芯片以及 TVS 二极管等不同形式的 Diode 产品，产品覆盖 650V-1200V 电压平台，产品广泛应用于工业控制和汽车半导体领域|
|FRD 芯片|无|比亚迪可提供包含裸芯片以及 TVS 二极管等不同形式的 Diode 产品，产品覆盖 650V-1200V 电压平台，产品广泛应用于工业控制和汽车半导体领域|
|TVS 二极管|无|比亚迪可提供包含裸芯片以及 TVS 二极管等不同形式的 Diode 产品，产品覆盖 650V-1200V 电压平台，产品广泛应用于工业控制和汽车半导体领域|
|IPM|DIP25-3824 系列、DIP27-4426 系列、DIP30-7931 系列、DIP25-B-3215 系列|比亚迪半导体智能功率模块内置驱动与保护集成电路芯片，搭配低损耗 IGBT 芯片，实现高效率、高可靠性逆变功能，可用于结构紧凑、性能高效的电机驱动控制电路|
|SiC MOSFET|SiC MOSFET 单管、SiC MOSFET 模块|比亚迪 SiC 功率器件包含单管和功率模组两种封装形式。单管产品应用于新能源汽车 DC-DC 转换模组及 AC-DC 双向逆变模组；模块产品应用于新能源汽车使电机驱动控制器体积大幅缩小，整车性能在现有基础上大幅提升|

产品系列,产品型号,集电极  发射极间电压(V)  结温=25°C,集电极电流  (A),集电极  发射极间饱和电压(V)  结温=25°C,关断损耗(mJ)  结温=25℃,下载
产品系列,产品型号,集电极  发射极间电压(V)  结温=25°C,集电极电流  (A),集电极  发射极间饱和电压(V)  结温=25°C,关断损耗(mJ)  结温=25℃,下载
产品系列,产品型号,集电极  发射极间电压(V)  结温=25°C,集电极电流  (A),集电极  发射极间饱和电压(V)  结温=25°C,关断损耗(mJ)  结温=25℃,下载
34mm,BG100B12UX4-I,1200,100,2.3,5,
34mm,BG150B07X13L5,650,150,1.43,6,
34mm,BG150B12LX4-I,1200,150,2.05,5,
34mm,BG150B12UX2S-I,1200,150,2.3,6.8,
34mm,BG200B07X13L5,650,200,1.46,8,
34mm,BG50B12UX3-I,1200,50,2.3,2.8,
34mm,BG75B12UX4-I,1200,75,2.3,2.6,
62mm,BG150B12LY4-I,1200,150,2.1,8.4,
62mm,BG150B12UY4-I,1200,150,2.2,6.3,
62mm,BG200B12LY4-I,1200,200,2.1,4.6,
62mm,BG200B12UY3-I,1200,200,2.3,10,
62mm,BG200B12UY4-I,1200,200,2.3,10,
62mm,BG300B07Y13L5,650,300,1.45,12.1,
62mm,BG300B12LY4-I,1200,300,2.05,13,
62mm,BG450B07Y13L5,650,450,1.45,18.75,
62mm,BG450B12LY4-I,1200,450,2.05,21.49,
62mm,BG450BE12LY4-I,1200,450,2.05,21.49,
62mm,BG600B12LY4-I,1200,600,1.95,67,
62mmNPC,BG200I12Y13S4,1200,200,2,4.6,
DM4.0,BGW550F12E14L6,1200,550,1.7,37,
DM4.0,BGW550FH12E14L6,1200,550,1.8,32,
DM4.0,BGW600FH12E34L6,1200,600,1.6,25,
DM4.0,BGW650F12E14L6,1200,650,1.8,44,
DM4.0,BGW700F12E34L6,1200,700,1.8,44,
genePACK 3,BG150F12F13L4,1200,150,2.2,10,
genePACK 3,BG200F12F13L4,1200,200,2.35,14,
genePACK2,BG100F12H13L4,1200,100,2.2,5.2,
genePACK2,BG35F12H13L4-L,1200,35,2,1.54,
genePACK2,BG50F12H13L4,1200,50,2.15,1.6,
genePACK2,BG50F12H13L4-L,1200,50,2.1,2.2,
genePACK2,BG75F12H13L4,1200,75,2.05,3.9,
genePIM2,BG25G12H13L4-L,1200,25,2.1,1.08,
genePIM2,BG35E12H13L4,1200,35,2.15,1.54,
genePIM2,BG35G12H13L4,1200,35,2.1,1.54,
genePIM2,BG35G12H13L4-L,1200,35,2,1.54,
genePIM2,BG50E12H13L4-G,1200,50,2.1,2.5,
genePIM2,BG50G07H13S5,650,50,1.7,1.2,
genePIM2,BG50G12H13L4,1200,50,2.1,2.5,
genePIM2,BG75E12H13L4-G,1200,75,2.35,3.3,
genePIM2,BG75G07H13S5,650,75,1.7,1.93,
genePIM3,BG100E12F13L4,1200,100,2.4,5.4,
genePIM3,BG100G12F13L4,1200,100,2.4,5.4,
genePIM3,BG150G12F13L4,1200,150,2.05,6.2,
genePIM3,BG50G12F13L4,1200,50,2.15,2.5,
genePIM3,BG50G12F13L4-L,1200,50,2.15,2.4,
genePIM3,BG75G12F13L4,1200,75,2.35,3.3,
genePIM3,BG75G12F13L4-L,1200,75,2.35,4,
micMNPC0,BG80T12G10S5,1200,80,2.35,1.99,
micMNPC1,BG160T12Q10S5,1200,160,2.4,3.6,
micNPC2,BG300IA07U13H5,650,300,2.0,1.6,
micNPC2,BG400I10U33H6,950,400,1.5,5.3,
micNPC2,BG450I07U13H6,650,450,1.6,3.0,
Mini PIM 2,BG25G12N10S4,1200,25,2.1,1.57,
Mini PIM 2,BG35G12N10S4,1200,35,2,2.21,
miniNPC2,BG100I07N10H5,650,100,1.8,0.9,
miniNPC2,BG150I07N10H5,650,150,1.76,0.8,
miniPACK1,BG25F12M10S4,1200,25,1.9,1.18,
miniPACK1,BG30F07M10S5,650,30,1.73,0.75,
miniPACK1,BG35F12M10S4,1200,35,2.1,1.9,
miniPACK1,BG50F07M10S5,650,50,1.73,1.72,
miniPACK1,BG60F07M10S5,650,60,1.5,2.09,
miniPACK2,BG50F12N10S4,1200,50,1.9,2.59,
miniPACK2,BG75F12N10S4,1200,75,2.1,4.43,
miniPIM1,BG30G07M10S5,650,30,1.6,0.33,
SOT227,BG100A12T13S4,1200,100,2.1,6.1,
SOT227,BG75A12T13S4,1200,75,2.1,3.67,
V-215,BG200F12A13L4,1200,200,2,17.2,
V-215,BG300F08A13L5,750,300,1.5,17.7,
V-215,BG400F08A13L5,750,400,1.55,20,
V-215,BGW250F12A14L4,1200,250,2,14.8,
V-215,BGW300F12AT14L6,1200,300,1.55,24.3,
V-215,BGW400F08A14L5,750,400,1.5,17.6,
V-215,BGW600F08A14L5,750,600,1.65,43,
V-215P,BGW400F08U13L5,750,400,1.58,25.61,
V-215P,BGW600F08U14L5,750,600,1.61,33,
V-305(IGBT),BGW400F12B14S4-N,1200,400,1.9,31,
V-305(IGBT),BGW500F12B34S4-N,1200,500,2,31,
V-305(IGBT),BGW600F08B14L5,750,600,1.7,18,
V-305(IGBT),BGW600F12B34L6,1200,600,1.65,38,
V-305(IGBT),BGW820F08B14L5,750,820,1.6,18,
V-305(IGBT),BGW950F08B34L5,750,950,1.7,18,
V-315,BG600F12LNP8,1200,600,2.05,42,
V-415,BG1000F12D34S4,1200,1000,2.05,85,
V-415,BG900F12D14S4,1200,900,2.05,85,
V-415,BG950F12D34S4,1200,950,2.05,85,
V-DUAL1,BG300H12ME4D,1200,300,2.2,15,
V-DUAL1,BG450B12L13S6,1200,450,1.55,57.81,
V-DUAL1,BG450B12ME4D,1200,450,2.16,33,
V-DUAL1,BG450BA12L13S6,1200,450,1.65,29.54,
