产品网址：http://www.bydmicro.com/cn/IC.html
产品结构：root->产品_智能控制IC_比亚迪半导体

|产品名称|产品型号|功能描述|
|--|--|--|
|智能控制 IC|无|比亚迪半导体智能控制 IC，经过十多年技术沉淀及生产经验积累，产品品质稳定可靠，产品涵盖 MCU 芯片、电池保护 IC、ACDC 等。产品广泛应用于消费类电子、家电、汽车等多个领域，不仅可提供产品应用的整套解决方案，并且可根据客户需求提供个性化定制服务。|
|AC-DC 芯片|无|高度集成并内置 BJT/MOS，同时通过 PFM 控制方式实现恒流，以及 PFM+PWM 实现恒压，可实现高精度的恒压和恒流功能。同时具备完善的保护功能，满足能效 VI，并内置抖频功能，可简化 EMI 设计，产品广泛应用于智能手机/平板/笔记本/路由器/音箱等适配器。|
|保护 IC|无|1-15 串锂离子/锂聚合物/铁电池保护芯片，具有高精度，高集成度，以及低功耗等特点，并具备完善的保护功能。同时可集成保护 IC 和 MOSFET，也可配合精密电阻，并具有电芯容量平衡功能，可减小各节电芯的容量差异，延长电池组寿命，产品广泛应用于智能手机/平板/笔记本/智能穿戴（手机/手环/TWS 耳机），以及电动工具/园林工具/扫地机/吸尘器/电动自行车等电池。|
|驱动 IC|无|满足 600V/1200V，同时可兼容 IGBT&SiC 驱动。同时集成了多种保护功能，如故障报警，有源密勒钳位，主次级欠压保护等，并集成了模拟电平检测功能，可用于实现温度或电压的检测，并提高芯片的通用性，产品广泛用于新能源汽车电源模块，工业电机控制驱动，太阳能逆变器，以及家用电器等。|
|DC-DC|无|比亚迪多功能低侧 N 沟道 MOSFET 控制器适用于升压、反激、SEPIC 等电路拓扑，它能以极高的开关频率运行，以缩小总体解决方案规模。|
|触控芯片|无|比亚迪半导体自电容触摸屏控制芯片，内部集成 MCU 和自电容检测电路，为客户提供高性能，高品质的产品及整体解决方案。|
|智能锁控 MCU|无|低功耗智能锁主控“三合一”芯片，内部集成 RFID 智能锁检测、触摸按键，通过技术提升，降低锁板成本，提高客户开发效率。|
|家电 MCU|无|家电 MCU 基于多年的行业应用基础，采用高速 MCU 架构，搭载超高灵敏度、超强抗干扰能力的电容式触摸按键检测模块，集成创新型 LED 串行点阵恒流驱动模块以及丰富的外设资源，旨在为客户提供高性能高品质的最优解决方案。|
|车规级 MCU|无|车规级 MCU 采用高可靠性的车规级制造工艺，严格按照 AEC-Q100 Grade1 质量标准测试认证，遵循 IATF16949 体系下生产管控流程，可提供 8 位和 32 位内核系列，安全等级可最高达到 ISO26262 ASILB 标准。产品适用于车灯、BLDC 电机控制、传感器检测、充电枪、控制面板、PM2.5 等车身电器应用。|
|工业 32 位 MCU|无|BS32 系列 MCU 是基于 ARM® Cortex®内核的通用型 32 位高性能、低功耗微控制器，具有高集成度、丰富的外设资源和开发简易的特点，并提供各种易于上手的软硬件辅助工具，旨在为用户开辟全新的自由开发空间。产品适用于工业控制、人机交互、电机驱动、电源监测、警报系统、手持设备、打印机和扫描仪等领域。|
|电池管理 IC|无|电池管理 IC 产品，为电池管理系统提供芯片解决方案，有助于更高效、可靠地开发电池应用。电池管理 IC 产品组合，包括多种通道模拟前端 IC、智能电池管理 IC 和通信 IC 等，为工业和汽车电池管理应用提供专用 IC。|

产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
BF1550C,SOP7,±5%,±5%,>76%,<75mW,内置800V BJT,6W,


产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
BF1551C,SOP8,±5%,±5%,>84%,<75mW,内置800V BJT,12W,
BF1554B,SOP8,±5%,±5%,＞84%,＜75mW,内置650V MOS,12W,
BF1554A,SOP7,±5%,±5%,>84%,<75mW,内置650V MOS,12W,


产品型号,封装形式,内置MOS内阻,内置MOS耐压,静态电流,基准精度,主要功能,输出功率MAX,下载
产品型号,封装形式,内置MOS内阻,内置MOS耐压,静态电流,基准精度,主要功能,输出功率MAX,下载
产品型号,封装形式,内置MOS内阻,内置MOS耐压,静态电流,基准精度,主要功能,输出功率MAX,下载
BF1590A,SOP8,16mΩ,40V,<400uA,±1%,同步整流,12W,
BF1590C,SOP8,16mΩ,40V,＜400uA,±1%,同步整流,12W,
BF1590B,SOP8,16mΩ,45V,＜400uA,±1%,同步整流,12W,


产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
BF1554A,SOP7,±5%,±5%,>84%,<75mW,内置650V MOS,12W,
BF1551C,SOP8,±5%,±5%,>84%,<75mW,内置800V BJT,12W,


产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
产品型号,封装形式,电压精度,电流精度,转换效率,空载功耗,集成方式,输出功率MAX,下载
BF1524,SOT23-6,±5%,±5%,>87%,<75mW,外置MOS,15W,


产品系列,产品型号,正常功耗  Typ,过放功耗  Max,过充电  检测电压,过放电检  测电压,放电过流  检测电压1,充电过流  检测电压,短路检  测电压,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,V,V,V,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,V,V,V,0V允许  0V禁止,下载
BM112,BM112-QOEA-ST,4,0.7,4.175,2.9,0.15,-0.145,0.8,0V允许,
BM112,BM112-RCFA-ST,4,1.2,4.25,2.5,0.2,-0.100,0.8,0V允许,
BM112,BM112-JFEA-ST,4,0.7,4.2,2.85,0.15,-0.145,0.8,0V允许,
BM115,BM115-VCDD-DE,2.5,2,4.425,2.5,0.13,-0.13,0.35,0V允许,
BM115,BM115-XCAD-DE,2.5,0.8,4.475,2.5,0.065,-0.05,0.2,0V禁止,
BM115,BM115-XBAB-DE,2.5,1.5,4.475,2.41,0.075,-0.075,0.23,0V禁止,
BM115,BM115-VFAA-DE,2.5,0.5,4.425,2.9,0.05,-0.05,0.1,0V允许,
BM115,BM115-XCAC-DE,2.5,1.5,4.475,2.5,0.045,-0.04,0.095,0V禁止,
BM115,BM115-LCAB-DE,2.5,1.5,4.275,2.5,0.065,-0.06,0.17,0V允许,
BM115,BM115-WCDA-DE,2.5,0.5,4.45,2.5,0.135,-0.115,0.26,0V允许,
BM115,BM115-XCNC-DE,2.5,1.5,4.475,2.5,0.025,-0.025,0.075,0V禁止,
BM115,BM115-XCSA-DE,2.5,0.05,4.475,2.5,0.06,-0.06,0.19,0V禁止,
BM115,BM115-VFEB-DE,2.5,0.05,4.425,2.8,0.15,-0.06,0.26,0V禁止,
BM115,BM115-LFCA-DE,2.5,0.05,4.275,2.8,0.1,-0.1,0.5,0V禁止,
BM115,BM115-XCDB-DE,2.5,1.5,4.475,2.5,0.13,-0.1,0.3,0V禁止,
BM115,BM115-LFAA-DE,2.5,0.5,4.275,2.9,0.05,-0.05,0.1,0V允许,
BM117,BM117-VFPA-DE,1.5,0.05,4.425,2.8,0.04,-0.04,0.13,0V禁止,
BM117,BM117-AWSC-DE,1.5,0.05,4.545,2.545,0.06,-0.06,0.19,0V允许,
BM117,BM117-YCQA-DE,1.5,0.05,4.495,2.52,0.045,-0.045,0.145,0V允许,
BM117,BM117-BCAA-FE,1.5,0.05,4.575,2.465,0.05,-0.045,0.097,0V禁止,
BM117,BM117-YCSA-DE,1.5,0.05,4.495,2.52,0.06,-0.06,0.19,0V禁止,
BM117,BM117-AWSC-FE,1.5,0.05,4.545,2.545,0.06,-0.06,0.19,0V允许,
BM117,BM117-XZPA-DE,1.5,0.05,4.475,2.835,0.04,-0.04,0.13,0V禁止,
BM117,BM117-WCCA-DE,1.5,0.05,4.45,2.49,0.06,-0.1,0.3,0V禁止,
BM117,BM117-LFPA-DE,1.5,0.05,4.275,2.8,0.04,-0.04,0.13,0V禁止,
BM117,BM117-BYAA-DE,1.5,0.05,4.575,2.76,0.05,-0.05,0.108,0V禁止,
BM117,BM117-BCSA-FE,1.5,0.05,4.575,2.465,0.06,-0.06,0.19,0V禁止,


产品系列,产品型号,正常功耗  Typ,过放功耗  Max,过充电  检测电压,过放电  检测电压,放电过流  检测电压1,充电过流  检测电压,放电过流  检测电压2,短路检  测电压,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,mV,mV,mV,mV,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,mV,mV,mV,mV,0V允许  0V禁止,下载
BM114-DE6,BM114-BQJB-DE6,2,0.5,4.575,2.11,10.5,-18,15,40,0V禁止,
BM114-DE6,BM114-BUJB-DE6,2,0.5,4.575,2.345,10.5,-24,16.5,40,0V禁止,
BM114-DE6,BM114-ZUIB-DE6,2,0.5,4.525,2.35,10.5,-24,16.5,40,0V禁止,
BM114-DE6,BM114-ZUJB-DE6,2,0.5,4.525,2.35,10.5,-15,15,40,0V禁止,
BM114-DE6,BM114-XCOB-DE6,2,0.5,4.47,2.5,35,-30,-,100,0V允许,
BM114-DE6,BM114-VUKB-DE6,2,0.5,4.425,2.37,15,-15,22,40,0V禁止,
BM114-DE6,BM114-AQLB-DE6,2,0.5,4.55,2.1,21,-29,30,80,0V禁止,
BM114-DE6,BM114-YULB-DE6,2,0.5,4.495,2.35,21,-21,30,80,0V禁止,
BM114-DE6,BM114-DQJB-DE6,2,0.5,4.625,2.135,10.5,-27,16.5,40,0V禁止,
BM114-DE6,BM114-BQIB-DE6,2,0.5,4.575,2.11,10.5,-27,16.5,40,0V禁止,
BM114-DE6A,BM114-DQJD-DE6A,2,0.5,4.625,2.135,10.5,-33,16.5,40,0V允许,
BM114-DE6A,BM114-BQJB-DE6A,2,0.5,4.575,2.11,10.5,-18,15,40,0V禁止,
BM114-DE6A,BM114-DQJC-DE6A,2,0.5,4.625,2.125,10.5,-18,15,40,0V允许,
BM114-DE6A,BM114-ZUIB-DE6A,2,0.5,4.525,2.35,10.5,-24,16.5,40,0V禁止,
BM114-DE6A,BM114-YULB-DE6A,2,0.5,4.495,2.35,21,-21,30,80,0V禁止,
BM114-DE6A,BM114-BUJD-DE6A,2,0.5,4.575,2.345,10.5,-29.5,16.5,40,0V允许,
BM114-DE6A,BM114-BQIB-DE6A,2,0.5,4.575,2.11,10.5,-27,16.5,40,0V禁止,
BM114-DE6A,BM114-ZUJB-DE6A,2,0.5,4.525,2.35,10.5,-15,15,40,0V禁止,
