产品网址：http://www.jszhdz.net/page13?product_id=59
产品结构：root->气体闪光灯

|产品名称|产品型号|功能描述|
|--|--|--|
|爆闪补光灯|无|采用先进的稳压技术，精准控制爆闪输出电压；回电时间≤50MS，满足摄像机连闪抓拍；支持防干扰误触发功能，超过 5HZ 频率触发闪光信号则保护 30 秒，直到干扰信号消失之后 30 秒恢复正常；支持 RS485 调节爆闪输出电压，实现爆闪功率的增加和减少；支持爆闪次数统计功能；内置灯管散热结构，保证灯管寿命可达 1000 万次；支持 RS485 升级程序功能；IP66 防护等级；高亮度 10 米位置 F 值 5.6-2|

型号,ZH-Q-S6100W
应用范围,卡口/反向卡口
防炫目,标配内置光栅
适用车道数,1/2  车道
信号触发,自适应电平/开关量
RS485  接口,支持1路RS485，支持电脑或者摄像机控制
输入电压,AC 220V  ±20%
日夜切换,可选：光敏检测，自动日夜切换
闪光回电时间,≤50MS
功耗,＜65J
色温,5800K  ±200K
闪光时间,300US  （软件可调）
闪光寿命,≥1000万次
抓拍距离,15  ～  30  米
工作温度,-40  °  ～  70  °
外壳颜色,白色
外壳材料,高品质铝、钢化玻璃
防护等级,IP66
重量,3.5KG
尺寸,274*181*282
