产品网址：http://www.macmicst.com/index.php/product/product_info/23.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|晶闸管模块|无|无|

Type,V  RRM  (V),I  T(AV)  (A),V  TM  (V),I  TM  (A),R  thJC  (℃/W),Packages,PDF资料
ALL  MMK90A160UK  MMK200S160UA  MMK110A160UA  MMK90A160UA  MMK40A160UA  MMK150X030DA  MMK35LB160HB  MMK200T160UX6J  MMK150T160UX6J  MMK100U160UX6J  MMK75U160UX6J  MMK200T160UX  MMK150T160UX  MMK100T160UX  MMK100U160UX  MMK75U160UX  MMK110A160DK  MMK110A160DA  MMK200S160B  MMK160S160B  MMK110A160B  MMK90A160B  MMK60A160B  MMK40A160B,ALL  1600  300,ALL  90  200  110  40  150  35  100  75  160  60,ALL  1.60  1.75  0.30  1.81  1.15  1.70  1.18  1.65  1.54  1.50  1.80,ALL  282  500  345  141  450  110  150  100  75  400  314  315  235  600  280  188,ALL  0.35  0.12  1.54  0.50  0.10  0.24  0.13  0.18  0.20  0.25  0.16  0.45,ALL  KA  KS  KX  KLB  KT  KU,
MMK90A160UK,1600,90,1.60,282,0.35,KA,预览  下载
MMK200S160UA,1600,200,1.75,500,0.12,KS,预览  下载
MMK110A160UA,1600,110,0.30,345,1.54,KA,预览  下载
MMK90A160UA,1600,90,1.60,282,0.35,KA,预览  下载
MMK40A160UA,1600,40,1.81,141,0.50,KA,预览  下载
MMK150X030DA,300,150,1.15,450,0.10,KX,预览  下载
MMK35LB160HB,1600,35,1.70,110,0.24,KLB,预览  下载
MMK200T160UX6J,1600,200,1.60,500,0.13,KT,预览  下载
MMK150T160UX6J,1600,150,1.18,150,0.18,KT,预览  下载
MMK100U160UX6J,1600,100,1.15,100,0.20,KU,预览  下载
MMK75U160UX6J,1600,75,1.15,75,0.25,KU,预览  下载
MMK200T160UX,1600,200,1.60,500,0.13,KT,预览  下载
MMK150T160UX,1600,150,1.65,400,0.16,KT,预览  下载
MMK100T160UX,1600,100,1.54,314,0.24,KT,预览  下载
MMK100U160UX,1600,100,1.65,315,0.24,KU,预览  下载
MMK75U160UX,1600,75,1.50,235,0.35,KU,预览  下载
MMK110A160DK,1600,110,1.80,345,0.24,KA,预览  下载
MMK110A160DA,1600,110,1.80,345,0.24,KA,预览  下载
MMK200S160B,1600,200,1.75,600,0.12,KS,预览  下载
MMK160S160B,1600,160,1.54,500,0.18,KS,预览  下载
MMK110A160B,1600,110,1.65,280,0.25,KA,预览  下载
MMK90A160B,1600,90,1.60,282,0.35,KA,预览  下载
MMK60A160B,1600,60,1.54,188,0.45,KA,预览  下载
MMK40A160B,1600,40,1.81,141,0.5,KA,预览  下载
