产品网址：http://www.macmicst.com/index.php/product/product_info/18.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|FRED 分立器件|无|无|

Type,V  RRM  (V),I  F(AV)  (A),V  F  (V),t  rr  (ns),R  thJC  (℃/W),PDF资料
ALL  MM75FU60B  MM30FU060P  MM15FU60K  MM60F120B  MM60FU120B  MM30FU120B  MM30FU120K  MM15FU120K  MM8FU120K  MM30FC120B  MM60FC120B  MM60FC100B  MM30FC100B  MM16F70KC  MM15F70K  MM8F70K  MM15F060K1  MM30FU060B  MM30FU60PC  MM8FU060K  MM60FU60BC  MM30FU060K1  MM60F060P  MM60FU060B  MM15F060K  MM30F060B  MM75F60B  MM30FU60K  MM60F060B  MM60F060PC  MM30F060PC  MM30F040PC  MM16FU060KC  MM60F040B  MM80FU040PC  MM60FU030PC  MM60F020PC  MM100F20B  D92-02,ALL  600  1200  1000  700  400  300  200,ALL  75  30  15  60  8  2×8  2×15  2×30  2×40  100  2×10,ALL  2.00  2.10  2.80  2.90  2.60  2.50  2.65  1.30  1.80  1.50  1.35  1.40  1.00  1.15  1.20  0.86  0.90,ALL  25  20  18  32  30  26  21  19  22  17  16  40  23  31  27  35,ALL  0.38  0.80  1.30  0.45  1.50  2.00  0.40  2.50  1.60  2.80  0.50  1.10  0.48  0.24,
MM75FU60B,600,75,2.00,25,0.38,预览  下载
MM30FU060P,600,30,2.00,20,0.80,预览  下载
MM15FU60K,600,15,2.00,18,1.30,预览  下载
MM60F120B,1200,60,2.10,32,0.45,预览  下载
MM60FU120B,1200,60,2.80,30,0.45,预览  下载
MM30FU120B,1200,30,2.90,26,0.80,预览  下载
MM30FU120K,1200,30,2.90,26,0.80,预览  下载
MM15FU120K,1200,15,2.60,25,1.50,预览  下载
MM8FU120K,1200,8,2.80,20,2.00,预览  下载
MM30FC120B,1200,30,2.80,26,0.80,预览  下载
MM60FC120B,1200,60,2.80,30,0.40,预览  下载
MM60FC100B,1000,60,2.50,30,0.40,预览  下载
MM30FC100B,1000,30,2.65,25,0.80,预览  下载
MM16F70KC,700,2×8,1.30,20,2.50,预览  下载
MM15F70K,700,15,1.30,21,1.50,预览  下载
MM8F70K,700,8,1.30,19,2.50,预览  下载
MM15F060K1,600,15,1.30,30,2.00,预览  下载
MM30FU060B,600,30,2.00,22,0.80,预览  下载
MM30FU60PC,600,2×15,2.00,17,1.60,预览  下载
MM8FU060K,600,8,1.80,16,2.80,预览  下载
MM60FU60BC,600,2×30,2.00,20,0.80,预览  下载
MM30FU060K1,600,30,2.00,20,1.50,预览  下载
MM60F060P,600,60,1.30,40,0.50,预览  下载
MM60FU060B,600,60,2.00,25,0.50,预览  下载
MM15F060K,600,15,1.30,23,1.50,预览  下载
MM30F060B,600,30,1.50,22,0.80,预览  下载
MM75F60B,600,75,1.35,31,0.38,预览  下载
MM30FU60K,600,30,2.00,22,0.80,预览  下载
MM60F060B,600,60,1.30,27,0.50,预览  下载
MM60F060PC,600,2×30,1.50,22,0.80,预览  下载
MM30F060PC,600,2×15,1.40,21,0.80,预览  下载
MM30F040PC,400,2×15,1.00,27,1.10,预览  下载
MM16FU060KC,600,2×8,1.80,17,2.50,预览  下载
MM60F040B,400,60,1.15,35,0.48,预览  下载
MM80FU040PC,400,2×40,1.30,22,0.80,预览  下载
MM60FU030PC,300,2×30,1.20,22,0.80,预览  下载
MM60F020PC,200,2×30,0.86,22,0.80,预览  下载
MM100F20B,200,100,1.00,35,0.24,预览  下载
D92-02,200,2×10,0.90,17,1.50,预览  下载
