产品网址：http://www.macmicst.com/index.php/product/product_info/21.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|快恢复二极管模块|无|无|

Type,V  RRM  (V),I  F(AV)  (A),V  F  (V),t  rr  (ns),P  D  (W),R  thJC  (℃/W),Packages,PDF资料
ALL  MMF400N010DK6B  MMF400D120U  MMF400S060DK2B  MMF200ZB040DK1D  MMF400N020DK2B  MMF200ZB060DK1C  MMF200ZB060DK1  MMF400D170B2B  MMF200ZB040DK1C  MMF400D120B2B  MMF300YB070U  MMF300Y040DK1  MMF400Y010DK1  MMF200N120DK6B  MMF200N120DA6B  MMF300S120DA2B  MMF300S120B2B  MMF150S120DA  MMF150S120B2B  MMF800Y020DK1  MMF400Y040DK1B  MMF300Y040DK1B  MMF200Y060DK1  MMF300S120DA  MMF300S060DA  MMF200S120DA  MMF200S060DA  MMF150S060DA  MMF600S060U  MMF300S120U  MMF400S120U  MMF600S120U  MMF300D170B2B  MMF2×100J120D6B  MMF2×60J120D  MMF2×100J120D  MMF2×60J070D  MMF2×100J060D  MMF2×100J040D  MMF100S170B2B  MMF200S170DA2B  MMF300S120DK2B  MMF200S120DK2B  MMF150S120DK2B  MMF300S060DK2B  MMF200S060DK2B  MMF150S060DK2B  MMF400S040DK2B  MMF300YB050U  MMF400S170U  MMF300Y060DK1B  MMF300Y060DK1  MMF400Y040DK1  MMF1000Y010DK1  MMF400Z020DK1  MMF200ZB040DK1B  MMF200Y040DK1  MMF200ZB040DK1  MMF200N070DA  MMF200N120DA  MMF100S170DK  MMF300S120DK  MMF200S120DK  MMF150S120DK  MMF300S060DK  MMF200S060DK  MMF150S060DK  MMF200N070DK  MMF200N120DK  MMF300N060DK6B  MMF200S170B  MMF100S170B  MMF300S120B  MMF200S120B  MMF150S120B  MMF300S060B  MMF200S060B  MMF150S060B  MMF100N120B  MMF150N060B6B,ALL  100  1200  600  400  200  1700  700  500,ALL  2×200  400  2×400  2×100  300  2×150  2×300  2×150  600  2×60  2×100  2×500,ALL  0.62  2.10  1.30  1.25  0.90  1.20  1.15  1.95  1.10  3.00  1.38  1.00  3.25  2.80  1.60  2.30  2.75  2.00  1.80  2.15  1.35  1.55  0.84  0.95  1.77,ALL  105  190  162  49  135  130  2000  75  180  121  65  150  145  165  91  110  140  175  200  500  125  95  62  750  120  160  1100  100  90  70,ALL  520  1450  1136  338  370  500  625  1250  560  1130  1040  694  280  893  568  1562  569  1665  890  192  312  208  417  360  835  416  1350  1670  1560  1041,ALL  0.24  0.085  0.11  0.37  0.34  0.25  0.20  0.10  0.22  0.12  0.18  0.44  0.14  0.08  0.075  0.65  0.40  0.60  0.30  0.15  0.09,ALL  FN  FD  FS  FZ  FYB  FY  FJ,
MMF400N010DK6B,100,2×200,0.62,105,520,0.24,FN,预览  下载
MMF400D120U,1200,400,2.10,190,1450,0.085,FD,预览  下载
MMF400S060DK2B,600,2×400,1.30,162,1136,0.11,FS,预览  下载
MMF200ZB040DK1D,400,2×100,1.25,49,338,0.37,FZ,预览  下载
MMF400N020DK2B,200,2×200,0.90,135,370,0.34,FN,预览  下载
MMF200ZB060DK1C,600,2×100,1.20,130,500,0.25,FZ,预览  下载
MMF200ZB060DK1,600,2×100,1.15,105,625,0.20,FZ,预览  下载
MMF400D170B2B,1700,2×400,1.95,2000,1250,0.10,FD,预览  下载
MMF200ZB040DK1C,400,2×100,1.10,75,560,0.22,FZ,预览  下载
MMF400D120B2B,1200,2×400,3.00,180,1130,0.11,FD,预览  下载
MMF300YB070U,700,300,1.38,121,1040,0.12,FYB,预览  下载
MMF300Y040DK1,400,2×150,1.20,65,1250,0.10,FY,预览  下载
MMF400Y010DK1,100,2×200,1.00,65,694,0.18,FY,预览  下载
MMF200N120DK6B,1200,2×100,3.25,150,280,0.44,FN,预览  下载
MMF200N120DA6B,1200,2×100,3.25,150,280,0.44,FN,预览  下载
MMF300S120DA2B,1200,2×300,2.80,135,893,0.14,FS,预览  下载
MMF300S120B2B,1200,2×300,2.80,135,893,0.14,FS,预览  下载
MMF150S120DA,1200,2×150,1.60,145,568,0.22,FS,预览  下载
MMF150S120B2B,1200,2×150,1.60,145,568,0.22,FS,预览  下载
MMF800Y020DK1,200,2×400,1.00,165,1562,0.08,FY,预览  下载
MMF400Y040DK1B,400,2×200,1.20,75,1562,0.08,FY,预览  下载
MMF300Y040DK1B,400,2×150,1.20,65,1250,0.10,FY,预览  下载
MMF200Y060DK1,600,2×100,1.20,91,625,0.20,FY,预览  下载
MMF300S120DA,1200,2×300,2.80,135,893,0.14,FS,预览  下载
MMF300S060DA,600,2×300,1.15,150,893,0.14,FS,预览  下载
MMF200S120DA,1200,2×200,2.30,110,568,0.22,FS,预览  下载
MMF200S060DA,600,2×200,1.15,140,694,0.18,FS,预览  下载
MMF150S060DA,600,2×150,1.15,130,569,0.22,FS,预览  下载
MMF600S060U,600,600,1.15,175,1665,0.075,FS,预览  下载
MMF300S120U,1200,300,2.75,150,890,0.14,FS,预览  下载
MMF400S120U,1200,400,3.00,180,1136,0.11,FS,预览  下载
MMF600S120U,1200,600,2.80,200,1250,0.10,FS,预览  下载
MMF300D170B2B,1700,2×300,2.00,500,893,0.14,FD,预览  下载
MMF2×100J120D6B,1200,2×100,3.25,150,280,0.44,FJ,预览  下载
MMF2×60J120D,1200,2×60,1.80,135,192,0.65,FJ,预览  下载
MMF2×100J120D,1200,2×100,2.15,125,312,0.40,FJ,预览  下载
MMF2×60J070D,700,2×60,1.15,150,208,0.60,FJ,预览  下载
MMF2×100J060D,600,2×100,1.35,95,417,0.30,FJ,预览  下载
MMF2×100J040D,400,2×100,1.20,62,360,0.34,FJ,预览  下载
MMF100S170B2B,1700,2×100,1.80,500,568,0.22,FS,预览  下载
MMF200S170DA2B,1700,2×200,1.80,750,893,0.14,FS,预览  下载
MMF300S120DK2B,1200,2×300,2.80,135,893,0.14,FS,预览  下载
MMF200S120DK2B,1200,2×200,2.30,110,568,0.22,FS,预览  下载
MMF150S120DK2B,1200,2×150,1.60,145,568,0.22,FS,预览  下载
MMF300S060DK2B,600,2×300,1.10,165,835,0.15,FS,预览  下载
MMF200S060DK2B,600,2×200,1.15,140,694,0.18,FS,预览  下载
MMF150S060DK2B,600,2×150,1.25,95,416,0.30,FS,预览  下载
MMF400S040DK2B,400,2×400,1.55,120,1250,0.10,FS,预览  下载
MMF300YB050U,500,300,1.20,160,1136,0.11,FYB,预览  下载
MMF400S170U,1700,400,1.80,1100,1350,0.09,FS,预览  下载
MMF300Y060DK1B,600,2×150,1.30,95,1670,0.075,FY,预览  下载
MMF300Y060DK1,600,2×150,1.20,100,1560,0.08,FY,预览  下载
MMF400Y040DK1,400,2×200,1.20,75,1562,0.08,FY,预览  下载
MMF1000Y010DK1,100,2×500,0.84,100,1041,0.12,FY,预览  下载
MMF400Z020DK1,200,2×200,0.95,90,625,0.20,FZ,预览  下载
MMF200ZB040DK1B,400,2×100,1.00,70,625,0.20,FZ,预览  下载
MMF200Y040DK1,400,2×100,1.00,70,625,0.10,FY,预览  下载
MMF200ZB040DK1,400,2×100,1.00,70,625,0.20,FZ,预览  下载
MMF200N070DA,700,2×100,1.20,140,370,0.34,FN,预览  下载
MMF200N120DA,1200,2×100,1.77,150,280,0.44,FN,预览  下载
MMF100S170DK,1700,2×100,1.80,500,568,0.22,FS,预览  下载
MMF300S120DK,1200,2×300,2.80,135,893,0.14,FS,预览  下载
