产品网址：https://www.hoperf.cn/lectotype/Matter
产品结构：root->Matter-RF射频、数字传感器产品专业设计生产商-深圳市华普微电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|Sub-1GHz 透传|无|无|
|LoRa SPI 模块|无|无|
|LoRa 透传模块|无|无|
|LoRaWAN 模块|无|无|
|Matter 无线模块|无|协议类型：Matter over Thread<br>天线类型：板载/外置天线<br>最大发射功率：10dBm、19.5dBm|
|蓝牙芯片|无|无|
|蓝牙模块|无|无|
|WiFi 模块|无|无|
|2.4GHz 无线收发模块|无|无|
|气压传感器|无|无|
|绝压传感器|无|无|
|表压传感器|无|无|
|差压传感器|无|无|
|温湿度传感器|无|无|
|温度传感器|无|无|
|数字隔离|无|无|
|隔离接口 I2C|无|无|
|隔离接口 RS485|无|无|
|隔离接口 CAN|无|无|
|隔离驱动|无|无|

型号,产品,协议类型,天线类型,工作电压,工作温度,调制频率,最高灵敏度,最大发射功率,最低功耗电流,Flash,RAM,产品尺寸,接口
型号,产品,协议类型,天线类型,工作电压,工作温度,调制频率,最高灵敏度,最大发射功率,最低功耗电流,Flash,RAM,产品尺寸,接口


型号,产品,协议类型,天线类型,工作电压,工作温度,调制频率,最高灵敏度,最大发射功率,最低功耗电流,Flash,RAM,产品尺寸,接口
型号,产品,协议类型,天线类型,工作电压,工作温度,调制频率,最高灵敏度,最大发射功率,最低功耗电流,Flash,RAM,产品尺寸,接口
HM-MT2401B,,Matter over Thread,板载/外置天线,1.71-3.8V,-40-125℃,2402-2483.5MHz,-105.7dBm,10dBm,1.3uA,1536KB,256KB,22*15.8*2.6mm,UART/SPI
HM-MT2401,,Matter over Thread,板载/外置天线,1.71-3.8V,-40-125℃,2402-2483.5MHz,-105.7dBm,19.5dBm,1.3uA,1536KB,256KB,22*15.8*2.6mm,UART/SPI
