产品网址：http://www.szyxsc.com/?product_58
产品结构：root->其他品牌电容-深圳市友芯电子商务有限公司-电解电容器薄膜电容器超级电容器

|产品名称|产品型号|功能描述|
|----|----|----|
|尼吉康 nichicon LGN2W661MELB60 LQ (K) 450v660uf 35*60mm|LGN2W661MELB60 LQ (K)|无|
|台湾金山 elite 牛角型 铝电解电容器 450V560uF PX(M)105°C 系列|无|无|
|NIPPON CHEMI-CON【日本黑金刚】铝电解电容 K M R 89bM3M 牛角电容 400V680uF|K M R 89bM3M|无|
|SAMYOUNG 韩国三莹 铝电解电容器 450v680uF TLS (M)105°C 系列|无|无|
|SAMWHA 韩国三和 500V330uF HW105°（M）电解电容器 牛角电容 35*50mm|无|无|
|尼吉康 nichicon 铝电解电容 CE 105°C GG(M)系列 450v330uF 牛角电容|CE 105°C GG(M)|无|
|厦门法拉 C66H2A00J202700 500v133uF 薄膜电容 电力电容|C66H2A00J202700|无|
|厦门法拉 C66H2107J102700 500v100uF 薄膜电容 电力电容|C66H2107J102700|无|
|厦门法拉 C66R1407J602700 330v400uF 薄膜电容 电力电容|C66R1407J602700|无|
|胜业电容器 FFC SY 500-133-1 500v133uF 薄膜电容 电力电容|FFC SY 500-133-1|无|
|胜业电容器 FFC SY 300-200-1 300v 1×200uF 薄膜电容 电力电容|FFC SY 300-200-1|无|
|日本黑金刚牛角电容 KMH 29YA4M 电解电容 450v150uf 22*50mm|KMH 29YA4M|无|
