产品网址：http://en.iczl.com/product/jkdl/jkfw
产品结构：root->Supervisoryreset-ZLMshenzhenzhoulielectronictechnologyco.,LTD.ResetICMOS

|产品名称|产品型号|功能描述|
|----|----|----|
|Supervisory reset|无|高耐压、高精度、低功耗电压检测、复位 IC|

Monitor voltage  2.55V  2.88V  3.06V  5V  3/3.3V  3V  3/3.3/4V  5V/3.3V/3V  0.7~10V,Reset voltage  2.55V  2.88V  3.06V  4.37V  2.55/2.88/3.06V  2.63/2.93V  2.55V  4.65V  4.4V  2.63V/2.63V/2.93V/3.08V/4.0V  2.63V/2.93V/3.08V/4.0V  2.63V/2.93V/3.08V/4.0V/4.38V/4.63V  0.9~6.0V (Step0.1V),Reset time  150ms  300ms  600ms  250ms  200ms  610ms  140ms,H/L  低  高  低、高  P高/RSTJ低,out  push  Open Drain  CMOS or NMOS open drain,package  SO8、SO16、DIP8、MSO8  SOT-23-3 TO-92-3  SOT-23-5  MicroSO8 DIP8 SO8  SOT23  SOT143  SOT23-3 SOT89-3 SOT23-5  SOT23-3 SOT23-5,compatible  DS1232 IMP1232  DS1815 IMP1815  DS1816 IMP1816  MAX823 DS1819 PT7M7823 IMP1819  DS1832 IMP1832  MAX705 PT7A751X IMP705  MAX706 PT7A751X IMP706  MAX707 IMP707  MAX708 PT7A751X IMP708  MAX813L IMP813  MAX706P/R/S/T IMP706P/R/S/T/J  MAX708R/S/T IMP708R/S/T/J  MAX809 IMP809R/S/T/J/L/M  MAX810 IMP810R/S/T/J/L/M  MAX811 PT7M7811 TCM811 ADM811 AIC811 APX811 SS811 MIC811 FM811 SGM811 STM811 CAT811 AAT3526 IMP811  R3111 MAX808  R3110 MAX809 IMP809  MAX812 IMP812R/S/T/J/L/M
3/3.3V,2.55/2.88/3.06V,150ms,低,push,SOT-23-3 TO-92-3,DS1815 IMP1815
5V,4.37V,250ms,低,push,SO8、SO16、DIP8、MSO8,DS1232 IMP1232
3/3.3V,2.55/2.88/3.06V,150ms,低,Open Drain,SOT-23-3 TO-92-3,DS1816 IMP1816
3V,2.63/2.93V,200ms,低,push,SOT-23-5,MAX823 DS1819 PT7M7823 IMP1819
3/3.3V,2.55V,610ms,高,push,MicroSO8 DIP8 SO8,DS1832 IMP1832
5V,4.65V,200ms,低,,MicroSO8 DIP8 SO8,MAX705 PT7A751X IMP705
5V,4.4V,200ms,低,,MicroSO8 DIP8 SO8,MAX706 PT7A751X IMP706
5V,4.65V,200ms,低、高,,MicroSO8 DIP8 SO8,MAX707 IMP707
5V,4.4V,200ms,低、高,,MicroSO8 DIP8 SO8,MAX708 PT7A751X IMP708
5V,4.65V,200ms,高,,MicroSO8 DIP8 SO8,MAX813L IMP813
