产品网址：https://ifreecomm.com/product/products
产品结构：root->产品中心|深圳市捷视飞通科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|教育融媒体业务管理平台|无|无|
|4K 精品互动录播一体机|无|无|
|精品高清互动录播一体机|无|无|
|常态化高清互动录播一体机|无|无|
|教学点互动终端|无|无|
|JF18000 云媒体协作处理平台|无|无|
|JF12000 云媒体协作处理平台|无|无|
|JF6000 云媒体协作处理平台|无|无|
|ISMP1000 综合会议业务管理系统|无|无|
|ONE-M5 羿视讯智能协作终端|无|无|
|MFCC3000 移动前置指挥中心|无|无|
|DSJ-IFCT1A1 移动智能终端|无|无|
|UCM6800 移动指挥调度平台|无|无|
|MCV3000MB 移动指挥箱|无|无|
|ISMP3000 视频融合应急指挥调度管理系统|无|无|
|UCLink 云平台|无|无|
|UC-M300A 分体式智能协作终端|无|无|
|UC-M300B 分体式智能协作终端|无|无|
|UC-M100C 一体式智能协作终端|无|无|
|UC-V500 一体化智能协作终端|无|无|
|JS-SX408 电源时序器|无|无|
|JS-SX216 电源时序器|无|无|
|JS-SX318 电源时序器|无|无|
|JS-WZH-BS20 无纸化会议系统管理中心（服务器）|无|无|
|JS-WZH-BO20 无纸化后台管理软件|无|无|
