产品网址：http://www.szdragon.com/products.aspx?amp=&nid=3&typeid=123
产品结构：root->专业显示器-新龙鹏-深圳市新龙鹏科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|Wifi/USB 有线投屏芯片|无|工作电压 3.3V&1.5V&1.1V，LQFP128P，16MM*16MM，配 12...|
|国产 Scaler 芯片|无|工作电压 3.3V&1.1V，配 8Mbit SPI NOR FLASH，LQFP128P，...|
|4K/144Hz 高刷芯片|无|工作电压 3.3V&1.1V&1.5V，BGA，配 8Mbit SPI NOR FLASH，...|
|5K/60Hz 芯片|无|工作电压 3.3V&1.1V&1.5V，BGA702P，27MM*27MM，配 8Mbit SPI NOR FLASH，...|
|4K/60Hz 点对点旋转芯片|无|工作电压 3.3V&1.1V&1.5V，BGA702P，27MM*27MM，配 8Mbit SPI NOR FLASH，...|
|4K/60Hz 非旋转芯片|无|工作电压 3.3V&1.1V&1.5V&1.8V，配 8Mbit SPI NOR FLASH，...|
|2.5K/60Hz 芯片|无|工作电压 3.3V&1.1V&2.5V，配 8Mbit SPI NOR FLASH，LQFP128P，...|
|Type C 显示器芯片|无|工作电压 3.3V&1.1V&2.5V，LQFP156P，22MM*16MM，配 8Mbit SPI NOR FLASH，...|
|FHD 有 DP 输入芯片|无|工作电压 3.3V&1.1V，配 8Mbit SPI NOR FLASH，LQFP128P，...|
