产品网址：http://www.szgeelly.com/product/68.html?productCateId=53
产品结构：root->2-6公斤柜式熔炼炉GHF-16R系列_深圳市聚力感应技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|2-6 公斤柜式熔炼炉|GHF-16R 系列|采用高频、超高频、中频电源作为熔炼主机，体积小，高效节能环保，可熔炼金、银、铜、铁、不锈钢、铂金、稀土金属、硅镍铅等各种金属，温度超过 2000℃，具有电磁搅拌能力，熔炼更均匀，质量高，可熔炼颗粒、块状、超高温金属等，主要采用石墨坩埚，也可以用小的陶瓷类坩埚，熔炼时间 30 秒--5 分钟，设备体积小、重量轻、操作简单方便、高效节能，具备单相 220V 输入电源，可以用于家庭作业|

柜式型感应熔金炉 Cabinet Type Induction Melting Furnace,柜式型感应熔金炉 Cabinet Type Induction Melting Furnace.1,柜式型感应熔金炉 Cabinet Type Induction Melting Furnace.2,柜式型感应熔金炉 Cabinet Type Induction Melting Furnace.3
标准型 Normal Model,GHF-08RG,G  HF-16RG,GHF-20RG
温控型  Temperature controlModel,GHF-08RG-T,G  HF-16RG -T,GHF-20RG-T
功率Power,8kw,16KW,20KW
输入电压 Input voltage,220V single phase,380V/415v/480v three phase 50 or 60HZ,380V/415v/480v three phase 50 or 60HZ
冷却水要求Cooling water,≥0.2MPa 2～6L/min,≥0.2MPa 2～6L/min,≥0.2MPa 2～6L/min
温控型温度范围  Temperature control range,400---1200℃,400---1200℃,400---1200℃
坩埚材料 Crucible,石墨 石英 graphite&quartz&ceramic,石墨 石英 graphite&quartz&ceramic,石墨 石英 graphite&quartz&ceramic
容量 Capacity,1--3KG,1-5kg,2-8kg
熔炼时间 Melting time,1-5分钟minutes,1-5分钟minutes,1-5分钟minutes
重量Weight of generator,48KG,57KG,63KG
外形尺寸 Size（CM）,48L×48W×78H,48L×48W×78H,48L×48W×78H
