产品网址：https://hawdar.com/index.php?id=75
产品结构：首页->产品中心->BUCs->Ka频段BUC->Ka波段BUC（6W、10W、20W、40W）-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ka 波段 BUC（6W、10W、20W、40W）|BUC-Ka6HN、BUC-Ka10HN、BUC-Ka20HN、BUC-Ka40HN|Ka 频段毫米波信号，高通量数据传输，频谱利用率高；超低噪声功率输出，系统兼容性强；具有多重保护，智能监测功能及告警功能；体积小，重量轻，安装方便；全模块化设计，易于维护。可选功能：工作频率可定制、带外抑制功能、上变频功能、AC/DC 电源转换器|

工作频率,输出功率,型号,型号.1,输入  /  输出  驻波比,输入  /  输出  驻波比.1,设备尺寸  (mm),设备尺寸  (mm).1
发射频率：  29 - 30 GHz  30 - 31  GHz  29.5 - 30  GHz  中频频率：  950 - 1950 MHz  1000 - 2000 MHz  950 - 1450  MHz,6W,BUC-Ka6HN,BUC-Ka6HN,1.5/1.25,1.5/1.25,120×120×75,120×120×75
发射频率：  29 - 30 GHz  30 - 31  GHz  29.5 - 30  GHz  中频频率：  950 - 1950 MHz  1000 - 2000 MHz  950 - 1450  MHz,10W,BUC-Ka10HN,BUC-Ka10HN,1.5/1.25,1.5/1.25,206×136×88,206×136×88
发射频率：  29 - 30 GHz  30 - 31  GHz  29.5 - 30  GHz  中频频率：  950 - 1950 MHz  1000 - 2000 MHz  950 - 1450  MHz,20W,BUC-Ka20HN,BUC-Ka20HN,1.5/1.25,1.5/1.25,206×136×88,206×136×88
发射频率：  29 - 30 GHz  30 - 31  GHz  29.5 - 30  GHz  中频频率：  950 - 1950 MHz  1000 - 2000 MHz  950 - 1450  MHz,40W,BUC-Ka40HN,BUC-Ka40HN,1.5/1.25,1.5/1.25,259×136×118,259×136×118
Ka  频段  BUC,6W,10W,10W,20W,20W,40W,40W
输出功率,37.8dBm,40dBm,40dBm,43dBm,43dBm,46dBm,46dBm
发射频率,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）,29.-31.0GHz  ，  30  - 31 GHz  ，  29.5 - 30 GHz  （其他频带可定制）
中频频率,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz,950  - 1950 MHz  ，  1000 - 2000 MHz  ，  950 - 1450 MHz
小信号增益,65dB,小信号增益,小信号增益,65dB,65dB,小信号增益,小信号增益
增益平坦度,"≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz","≤  3 dB /500 MHz,  ≤  4 dB /1000 MHz"
增益稳定度,≤  3  dB,≤  3  dB,≤  3  dB,≤  3  dB,≤  3  dB,≤  3  dB,≤  3  dB
衰减控制,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB
三阶交调,-25dBc,-25dBc,-25dBc,-25dBc,-25dBc,-25dBc,-25dBc
杂散,-55dBc,-55dBc,-55dBc,-55dBc,-55dBc,-55dBc,-55dBc
