产品网址：https://hawdar.com/index.php?id=140
产品结构：首页->产品中心->BUCs->Ku频段BUC->Ku波段BUC（3W）-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ku 波段 BUC（3W）|BUC-Ku3SN|一体化结构设计，系统温差小，可靠性高；低功耗；全模块化设计，易于维护；电压，电流告警保护；过温度、过功率、过反射保护|

工作频率,输出功率,型号,输入  /  输出  驻波比,设备尺寸  (mm  )
发射频率：  14.0-14.5GHz  13.75-14.5GHz  （扩展频率）  中频频率：  950-1450MHz  950-1700MHz(  扩展频率）,3W,BUC-Ku3SN,2:1/2:1,97×68×42
3W Ku  频段  BUC,3W Ku  频段  BUC,3W Ku  频段  BUC,3W Ku  频段  BUC,3W Ku  频段  BUC
发射频率,14.0-14.5GHz  、  13.75GHz-14.5GHz  （扩展频率）,14.0-14.5GHz  、  13.75GHz-14.5GHz  （扩展频率）,14.0-14.5GHz  、  13.75GHz-14.5GHz  （扩展频率）,14.0-14.5GHz  、  13.75GHz-14.5GHz  （扩展频率）
中频频率,950-1450MHz  、  950-1700MHz  (  扩展频率）,950-1450MHz  、  950-1700MHz  (  扩展频率）,950-1450MHz  、  950-1700MHz  (  扩展频率）,950-1450MHz  、  950-1700MHz  (  扩展频率）
额定输出功率,34dBm,34dBm,34dBm,34dBm
增益,55dB,55dB,55dB,55dB
三阶交调,-24 dBc,-24 dBc,-24 dBc,-24 dBc
增益平坦度,"≤  4 dB p-p/ 500 MHz,  ≤  5 dB p-p/ 750 MHz","≤  4 dB p-p/ 500 MHz,  ≤  5 dB p-p/ 750 MHz","≤  4 dB p-p/ 500 MHz,  ≤  5 dB p-p/ 750 MHz","≤  4 dB p-p/ 500 MHz,  ≤  5 dB p-p/ 750 MHz"
增益稳定度,≤4 dB,≤4 dB,≤4 dB,≤4 dB
杂散,-50dBc,-50dBc,-50dBc,-50dBc
输入  /  输出驻波比,2:1/2:1,2:1/2:1,2:1/2:1,2:1/2:1
功耗,18 W typ. @Prated,18 W typ. @Prated,18 W typ. @Prated,18 W typ. @Prated
相位噪声,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz
相位噪声,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz
相位噪声,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz
相位噪声,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz
外参考源要求,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm
接口,中频输入：中频接口  /  参考  /  供电：  N-50K  ；  F-75,中频输入：中频接口  /  参考  /  供电：  N-50K  ；  F-75,中频输入：中频接口  /  参考  /  供电：  N-50K  ；  F-75,中频输入：中频接口  /  参考  /  供电：  N-50K  ；  F-75
接口,射频输出：  WR75,射频输出：  WR75,射频输出：  WR75,射频输出：  WR75
供电电压,+18  ~ +36 VDC (IF  供电）,+18  ~ +36 VDC (IF  供电）,+18  ~ +36 VDC (IF  供电）,+18  ~ +36 VDC (IF  供电）
工作温度,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃
工作湿度,0%  ～  100%(  冷凝  ),0%  ～  100%(  冷凝  ),0%  ～  100%(  冷凝  ),0%  ～  100%(  冷凝  )
重量,0.35Kg,0.35Kg,0.35Kg,0.35Kg
