产品网址：https://hawdar.com/index.php?id=130
产品结构：首页->产品中心->BUCs->Ku频段BUC->Ku波段BUC（6W/8W）-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ku 波段 BUC（6W/8W）|BUC-Ku6EN、BUC-Ku8EN|一体化结构设计，系统温差小，可靠性高；低功耗；全模块化设计，易于维护；电压，电流告警保护；过温度、过功率、过反射保护|

工作频率,输出功率,型号,输入  /  输出  驻波比,输入  /  输出  驻波比.1,设备尺寸  (mm)
发射频率：  14.0-14.5GHz  13.75-14.5GHz  （扩展频率）  中频频率：  950-1450MHz  950-1700MHz(  扩展频率）,6W,BUC-Ku6EN,2:1/2:1,2:1/2:1,173×100×50
发射频率：  14.0-14.5GHz  13.75-14.5GHz  （扩展频率）  中频频率：  950-1450MHz  950-1700MHz(  扩展频率）,8W,BUC-Ku8SN,2:1/2:1,2:1/2:1,173×100×50
Ku  频段  BUC,6W,6W,6W,8W,8W
输出功率,≥38dBm,≥38dBm,≥38dBm,≥39dBm,≥39dBm
小信号增益,60dB  （典型值）,60dB  （典型值）,60dB  （典型值）,60dB  （典型值）,60dB  （典型值）
增益平坦度,±  2dB/  全频段,±  2dB/  全频段,±  2dB/  全频段,±  2dB/  全频段,±  2dB/  全频段
三阶交调,-25dBc,-25dBc,-25dBc,-25dBc,-25dBc
杂散,≤  -55dBc,≤  -55dBc,≤  -55dBc,≤  -55dBc,≤  -55dBc
输入输出驻波比,2:1/2:1,2:1/2:1,2:1/2:1,2:1/2:1,2:1/2:1
功耗,48W,48W,48W,65W,65W
重量,1.2Kg,1.2Kg,1.2Kg,1.2Kg,1.2Kg
相位噪声,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz,-60dBc/Hz @100Hz
相位噪声,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz,-70dBc/Hz @1KHz
相位噪声,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz,-80dBc/Hz @10KHz
相位噪声,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz,-90dBc/Hz @100KHz
外参考源要求,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm
接口,中频输入：  N-50K  ；  F-75,中频输入：  N-50K  ；  F-75,中频输入：  N-50K  ；  F-75,中频输入：  N-50K  ；  F-75,中频输入：  N-50K  ；  F-75
接口,射频输出：  BJ-120  （法兰：  FBM120  ）,射频输出：  BJ-120  （法兰：  FBM120  ）,射频输出：  BJ-120  （法兰：  FBM120  ）,射频输出：  BJ-120  （法兰：  FBM120  ）,射频输出：  BJ-120  （法兰：  FBM120  ）
供电电压,"+18  ~ +36 VDC,  通过  IFL  供电","+18  ~ +36 VDC,  通过  IFL  供电","+18  ~ +36 VDC,  通过  IFL  供电","+18  ~ +36 VDC,  通过  IFL  供电","+18  ~ +36 VDC,  通过  IFL  供电"
工作温度,-40  ~ +60  ℃,-40  ~ +60  ℃,-40  ~ +60  ℃,-40  ~ +60  ℃,-40  ~ +60  ℃
工作湿度,0-100%,0-100%,0-100%,0-100%,0-100%
