产品网址：https://hawdar.com/index.php?id=149
产品结构：首页->产品中心->LNBs->C频段LNB->Surp@ssCD系列C波段LNB双本振-

|产品名称|产品型号|功能描述|
|----|----|----|
|Surp@ss CD 系列 C 波段 LNB 双本振|LNB-C75DN|与公司 LNB 电源监控及本振单元配备使用，可提供 LNB 所需电源参考。特点：极低噪声温度、扩展频率定制、功耗低，性价比高、便于安装易于维护。可选功能：1:1 或 1:2 冗余备份功能、LNB 电源监控|

性能,参数
工作频率,3.4-4.2GHz / 950-1750MHz  ，本振5.15GHz  4.2-4.8GHz / 950-1550MHz  ，本振5.75GHz
噪声温度,75K
增益,60dB  （其他增益可定制）
增益平坦度,≤3.0dBp-p
输出饱和电平,≥10dBm
输入/输出驻波比,1.5/1.5
相位噪声,≤-65dBc/Hz @100Hz
相位噪声,≤-75dBc/Hz @1KHz
相位噪声,≤-82dBc/Hz @10KHz
相位噪声,≤-92dBc/Hz @100KHz
本振控制,13V  供电时，本振频率5.15GHz  18V  供电时，本振频率5.75GHz
工作电压,DC 12-24V
接口,输入：N-50J（或N-50K、SMA-50J、SMA-50K可选）
接口,输出：N-50K（或SMA-50K、F-75K可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，0±3dBm
外形尺寸/重量,110mm×75mm×34mm  ，≤500g
工作温度,-40  ℃～+60℃
存储温度,-40  ℃～+80℃
