产品网址：https://hawdar.com/index.php?id=151
产品结构：首页->产品中心->LNBs->Ka频段LNB->Surp@ssKaD2系列Ka波段LNB双本振双输出-

|产品名称|产品型号|功能描述|
|----|----|----|
|Surp@ss KaD2 系列 Ka 波段 LNB 双本振双输出|无|产品可提供 1:1 或 1:2 冗余备份功能，可靠性更高。产品广泛应用于固定站和移动站。特点：宽工作频带、极低噪声温度、扩展频率定制、功耗低，性价比高、便于安装易于维护、双本振同时输出。可选功能：1:1 或 1:2 冗余备份功能、超低损耗波导隔离器、LNB 电源监控及本振单元|

性能,参数
噪声温度,150K
增益,60dB  （其他增益可定制）
增益平坦度,≤  4dBp-p
输出饱和电平,≥10dBm
输入  /  输出驻波比,2.5/2.0
相位噪声,≤  -60dBc/Hz  @100Hz
相位噪声,≤  -70dBc/Hz  @1KHz
相位噪声,≤  -80dBc/Hz  @10KHz
相位噪声,≤  -90dBc/Hz  @100KHz
工作电压,DC 15V  （  12V  ～  24V  ）
接口,输入：波导  BJ-220  对应法兰  FBM220  （  WR42-G  ）
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,138mm×80mm×31mm  ，≤  500g
工作温度,-40  ℃～  +60  ℃
存储温度,-40  ℃～  +80  ℃
