产品网址：https://hawdar.com/index.php?id=150
产品结构：首页->产品中心->LNBs->Ku频段LNB->Surp@ssKuD系列Ku波段LNB双本振-

|产品名称|产品型号|功能描述|
|----|----|----|
|Surp@ss KuD 系列 Ku 波段 LNB 双本振|LNB-Ku75DC|产品可提供 1:1 或 1:2 冗余备份功能，可靠性更高。产品广泛应用于固定站和移动站。特点：宽工作频带、极低噪声温度、扩展频率定制、功耗低，性价比高、便于安装易于维护。可选功能：1:1 或 1:2 冗余备份功能、内外本振自动切换、LNB 电源监控及本振单元|

性能,参数,参数.1,参数.2
噪声温度,75K,75K,75K
增益,60dB  （其他增益可定制）,60dB  （其他增益可定制）,60dB  （其他增益可定制）
增益平坦度,≤  3dBp-p/1000MHz  ，≤  5dB/  全频段,≤  3dBp-p/1000MHz  ，≤  5dB/  全频段,≤  3dBp-p/1000MHz  ，≤  5dB/  全频段
输出饱和电平,≥  10dBm,≥  10dBm,≥  10dBm
输入  /  输出驻波比,2.5/2.0,2.5/2.0,2.5/2.0
频率稳定度,内参考时：±  1ppm  ，外参考输入时自动锁定外部参考源,内参考时：±  1ppm  ，外参考输入时自动锁定外部参考源,内参考时：±  1ppm  ，外参考输入时自动锁定外部参考源
相位噪声,≤  -60dBc/Hz  @100Hz,≤  -60dBc/Hz  @100Hz,≤  -60dBc/Hz  @100Hz
相位噪声,≤  -70dBc/Hz  @1KHz,≤  -70dBc/Hz  @1KHz,≤  -70dBc/Hz  @1KHz
相位噪声,≤  -80dBc/Hz  @10KHz,≤  -80dBc/Hz  @10KHz,≤  -80dBc/Hz  @10KHz
相位噪声,≤  -90dBc/Hz  @100KHz,≤  -90dBc/Hz  @100KHz,≤  -90dBc/Hz  @100KHz
本振控制,,LNB-Ku75DB,LNB-Ku75DC
本振控制,13V  供电时，  本振频率,10.0GHz,9.75GHz
本振控制,18V  供电时，  本振频率,10.75GHz,10.6GHz
工作电压,DC 12V  ～  24V,DC 12V  ～  24V,DC 12V  ～  24V
接口,输入：波导  BJ-120  对应法兰  FBM120  （  WR75-G  ）,输入：波导  BJ-120  对应法兰  FBM120  （  WR75-G  ）,输入：波导  BJ-120  对应法兰  FBM120  （  WR75-G  ）
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,92mm  ×  48mm  ×  40mm  ，≤  300g,92mm  ×  48mm  ×  40mm  ，≤  300g,92mm  ×  48mm  ×  40mm  ，≤  300g
工作温度,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃
存储温度,-40  ℃～  +80  ℃,-40  ℃～  +80  ℃,-40  ℃～  +80  ℃
