产品网址：https://hawdar.com/index.php?id=141
产品结构：首页->产品中心->抗5G干扰LNB、LNA->Surp@ss抗5G干扰波导滤波器-

|产品名称|产品型号|功能描述|
|----|----|----|
|Surp@ss 抗 5G 干扰波导滤波器|无|无|

频段,型号,频率范围,带外抑制,带外抑制.1,带外抑制.2
C-Band,BPF-CB,3.7-4.2GHz,≤  -60dB@3400MHz  ≤  -65dB@3500MHz  ≤  -60dB@3600MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz,≤  -60dB@3400MHz  ≤  -65dB@3500MHz  ≤  -60dB@3600MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz,≤  -60dB@3400MHz  ≤  -65dB@3500MHz  ≤  -60dB@3600MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz
C-Band,BPF-CC,3.625-4.2GHz,≤  -50dB@3400MHz  ≤  -60dB@3500MHz  ≤  -38dB@3600MHz  ≤  -30dB@4300MHz  ≤  -45dB@4400MHz  ≤  -65dB@4500MHz,≤  -50dB@3400MHz  ≤  -60dB@3500MHz  ≤  -38dB@3600MHz  ≤  -30dB@4300MHz  ≤  -45dB@4400MHz  ≤  -65dB@4500MHz,≤  -50dB@3400MHz  ≤  -60dB@3500MHz  ≤  -38dB@3600MHz  ≤  -30dB@4300MHz  ≤  -45dB@4400MHz  ≤  -65dB@4500MHz
C-Band,BPF-CD,3.8-4.2GHz,≤  -60dB@3500MHz  ≤  -65dB@3600MHz  ≤  -60dB@3700MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz,≤  -60dB@3500MHz  ≤  -65dB@3600MHz  ≤  -60dB@3700MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz,≤  -60dB@3500MHz  ≤  -65dB@3600MHz  ≤  -60dB@3700MHz  ≤  -30dB@4300MHz  ≤  -50dB@4400MHz  ≤  -65dB@4500MHz
性能,性能,参数,参数,参数,参数
频率范围,频率范围,3.7-4.2GHz,3.7-4.2GHz,3.625-4.2GHz,3.8-4.2GHz
带内插损,带内插损,≤0.3dB,≤0.3dB,≤0.4dB,≤0.3dB
边频插损,边频插损,≤0.5dB,≤0.5dB,≤0.8dB,≤0.5dB
输入、输出驻波比,输入、输出驻波比,≤1.30  ：  1,≤1.30  ：  1,≤1.30  ：  1,≤1.30  ：  1
输入接口,输入接口,BJ40  （波导法兰  FDM40  ）,BJ40  （波导法兰  FDM40  ）,BJ40  （波导法兰  FDM40  ）,BJ40  （波导法兰  FDM40  ）
输出接口,输出接口,BJ40  （波导法兰  FDP40  ）,BJ40  （波导法兰  FDP40  ）,BJ40  （波导法兰  FDP40  ）,BJ40  （波导法兰  FDP40  ）
功率容量,功率容量,≤  200W  （  CW  ）,≤  200W  （  CW  ）,≤  200W  （  CW  ）,≤  200W  （  CW  ）
工作温度,工作温度,-40℃~+70℃,-40℃~+70℃,-40℃~+70℃,-40℃~+70℃
外形尺寸（  L×W×H  ）,外形尺寸（  L×W×H  ）,100×99×70mm,100×99×70mm,100×99×70mm,100×99×70mm
