产品网址：https://hawdar.com/index.php?id=174
产品结构：首页->产品中心->LNBs->Ku频段LNB->全国产化Ku波段LNB单本振-

|产品名称|产品型号|功能描述|
|----|----|----|
|全国产化 Ku 波段 LNB 单本振|无|产品可选择 1:1 或 1:2 冗余备份功能，可靠性更高。产品广泛应用于固定站和移动站。特点：100%国产化、极低噪声温度、内外本振自动切换、扩展频率定制、LNB 电源监控及本振单元、功耗低，性价比高、便于安装易于维护|

性能,参数
噪声系数,1.2dB
增益,60dB  （其他增益可定制）
增益平坦度,≤  3dBp-p
输出饱和电平,≥0dBm
输入  /  输出驻波比,2.5/2.0
相位噪声,≤  -65dBc/Hz @100Hz
相位噪声,≤  -75dBc/Hz @1KHz
相位噪声,≤  -80dBc/Hz @10KHz
相位噪声,≤  -90dBc/Hz @100KHz
工作电压,DC 12V  ～  18V  ，约  270mA@12V
接口,输入：波导  BJ-120  对应法兰  FBM120  （  WR75-G  ）
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,92mm×48mm×40mm  ，≤  300g
工作温度,-40  ℃～  +60  ℃
工作湿度,0~100  %
