产品网址：http://video-sy.com/?show-31-1.html
产品结构：当前位置：首页->产品中心->光纤传输设备->光纤通讯模块->SFP->BIDI

|产品名称|产品型号|功能描述|
|--|--|--|
|BIDI SFP 光纤通讯模块|无|利用 WDM 技术，实现单根光纤线缆双向数据传输，节省光纤资源|

封装类型,产品型号,传输介质,传输速率,传输波长,传输距离,接口类型
BiDi SFP,SYSFP15BD151302D/I,MMF,100M-155Mbps,1550nm/1310nm,2km,LC/SC
BiDi SFP,SYSFP15BD131520D/I,SMF,100M-155Mbps,1310nm/1550nm,20km,LC/SC
BiDi SFP,SYSFP15BD151320D/I,SMF,100M-155Mbps,1550nm/1310nm,20km,LC/SC
BiDi SFP,SYSFP15BD131540D/I,SMF,100M-155Mbps,1310nm/1550nm,40km,LC/SC
BiDi SFP,SYSFP15BD151340D/I,SMF,100M-155Mbps,1550nm/1310nm,40km,LC/SC
BiDi SFP,SYSFP15BD131560D/I,SMF,100M-155Mbps,1310nm/1550nm,60km,LC/SC
BiDi SFP,SYSFP15BD151360D/I,SMF,100M-155Mbps,1550nm/1310nm,60km,LC/SC
BiDi SFP,SYSFP15BD131580D/I,SMF,100M-155Mbps,1310nm/1550nm,80km,LC/SC
BiDi SFP,SYSFP15BD151380D/I,SMF,100M-155Mbps,1550nm/1310nm,80km,LC/SC
BiDi SFP,SYSFP15BD1415100D/I,SMF,100M-155Mbps,1490nm/1550nm,100km,LC/SC
BiDi SFP,SYSFP15BD1514100D/I,SMF,100M-155Mbps,1550nm/1490nm,100km,LC/SC
BiDi SFP,SYSFP15BD1415120D/I,SMF,100M-155Mbps,1490nm/1550nm,120km,LC/SC
BiDi SFP,SYSFP15BD1514120D/I,SMF,100M-155Mbps,1550nm/1490nm,120km,LC/SC
BiDi SFP,SYSFP15BD1415140D/I,SMF,100M-155Mbps,1490nm/1550nm,140km,LC/SC
BiDi SFP,SYSFP15BD1514140D/I,SMF,100M-155Mbps,1550nm/1490nm,140km,LC/SC
BiDi SFP,SYSFP15BD1415180D/I,SMF,100M-155Mbps,1490nm/1550nm,180km,LC/SC
BiDi SFP,SYSFP15BD1514180D/I,SMF,100M-155Mbps,1550nm/1490nm,180km,LC/SC
BIDI SFP,SYSFP15BDXXXXB29/I,SMF,100M~155Mbps,CWDM/CWDM,29dB,LC/SC
BIDI SFP,SYSFP15BDXXXXB35/I,SMF,100M~155Mbps,CWDM/CWDM,35dB,LC/SC
BiDi SFP,SYSFP62BD131502D/I,MMF,100M-622Mbps,1310nm/1550nm,2km,LC/SC
BiDi SFP,SYSFP62BD151302D/I,MMF,100M-622Mbps,1550nm/1310nm,2km,LC/SC
BiDi SFP,SYSFP62BD131510D/I,SMF,100M-622Mbps,1310nm/1550nm,10km,LC/SC
BiDi SFP,SYSFP62BD151310D/I,SMF,100M-622Mbps,1550nm/1310nm,10km,LC/SC
BiDi SFP,SYSFP62BD131520D/I,SMF,100M-622Mbps,1310nm/1550nm,20km,LC/SC
BiDi SFP,SYSFP62BD151320D/I,SMF,100M-622Mbps,1550nm/1310nm,20km,LC/SC
BiDi SFP,SYSFP62BD131540D/I,SMF,100M-622Mbps,1310nm/1550nm,40km,LC/SC
BiDi SFP,SYSFP62BD151340D/I,SMF,100M-622Mbps,1550nm/1310nm,40km,LC/SC
BiDi SFP,SYSFP62BD131560D/I,SMF,100M-622Mbps,1310nm/1550nm,60km,LC/SC
BiDi SFP,SYSFP62BD151360D/I,SMF,100M-622Mbps,1550nm/1310nm,60km,LC/SC
BiDi SFP,SYSFP62BD141580D/I,SMF,100M-622Mbps,1490nm/1550nm,80km,LC/SC
BiDi SFP,SYSFP62BD151480D/I,SMF,100M-622Mbps,1550nm/1490nm,80km,LC/SC
BiDi SFP,SYSFP62BD1415100D/I,SMF,100M-622Mbps,1490nm/1550nm,100km,LC/SC
BiDi SFP,SYSFP62BD1514100D/I,SMF,100M-622Mbps,1550nm/1490nm,100km,LC/SC
BiDi SFP,SYSFP62BD1415120D/I,SMF,100M-622Mbps,1490nm/1550nm,120km,LC/SC
BiDi SFP,SYSFP62BD1514120D/I,SMF,100M-622Mbps,1550nm/1490nm,120km,LC/SC
BiDi SFP,SYSFP62BD1415140D/I,SMF,100M-622Mbps,1490nm/1550nm,140km,LC/SC
BiDi SFP,SYSFP62BD1514140D/I,SMF,100M-622Mbps,1550nm/1490nm,140km,LC/SC
BIDI SFP,SYSFP62BDXXXXB23/I,SMF,100M~622Mbps,CWDM/CWDM,23dB,LC/SC
BIDI SFP,SYSFP62BDXXXXB28/I,SMF,100M~622Mbps,CWDM/CWDM,28dB,LC/SC
